Date,Price,Open,High,Low,Vol.,Change %
04-Mar-20,1975.83 ,1947.36 ,1977.46 ,1922.69 ,4.77M,3.50%
03-Mar-20,1908.99 ,1973.96 ,1996.00 ,1888.88 ,7.53M,-2.30%
02-Mar-20,1953.95 ,1908.83 ,1953.95 ,1870.00 ,6.76M,3.73%
28-Feb-20,1883.75 ,1815.90 ,1885.00 ,1812.29 ,9.49M,-0.03%
27-Feb-20,1884.30 ,1934.38 ,1975.00 ,1882.76 ,8.14M,-4.81%
26-Feb-20,1979.59 ,1970.28 ,2014.67 ,1960.45 ,5.24M,0.35%
25-Feb-20,1972.74 ,2026.42 ,2034.60 ,1958.42 ,6.22M,-1.82%
24-Feb-20,2009.29 ,2003.18 ,2039.30 ,1987.97 ,6.55M,-4.14%
21-Feb-20,2095.97 ,2142.15 ,2144.55 ,2088.00 ,4.65M,-2.65%
20-Feb-20,2153.10 ,2173.07 ,2176.79 ,2127.45 ,3.13M,-0.79%
19-Feb-20,2170.22 ,2167.80 ,2185.10 ,2161.12 ,2.56M,0.67%
18-Feb-20,2155.67 ,2125.02 ,2166.07 ,2124.11 ,2.95M,0.97%
14-Feb-20,2134.87 ,2155.68 ,2159.04 ,2125.89 ,2.61M,-0.70%
13-Feb-20,2149.87 ,2144.99 ,2170.28 ,2142.00 ,3.03M,-0.47%
12-Feb-20,2160.00 ,2163.20 ,2180.25 ,2155.29 ,3.33M,0.43%
11-Feb-20,2150.80 ,2150.90 ,2185.95 ,2136.00 ,5.75M,0.79%
10-Feb-20,2133.91 ,2085.01 ,2135.60 ,2084.96 ,5.06M,2.63%
07-Feb-20,2079.28 ,2041.99 ,2098.53 ,2038.10 ,5.10M,1.42%
06-Feb-20,2050.23 ,2041.02 ,2056.30 ,2024.80 ,3.18M,0.51%
05-Feb-20,2039.87 ,2071.02 ,2071.02 ,2032.00 ,4.38M,-0.48%
04-Feb-20,2049.67 ,2029.88 ,2059.80 ,2015.37 ,5.29M,2.27%
03-Feb-20,2004.20 ,2010.60 ,2048.50 ,2000.25 ,5.90M,-0.23%
31-Jan-20,2008.72 ,2051.47 ,2055.72 ,2002.27 ,15.57M,7.38%
30-Jan-20,1870.68 ,1858.00 ,1872.87 ,1850.61 ,6.33M,0.68%
29-Jan-20,1858.00 ,1864.00 ,1874.75 ,1855.02 ,2.10M,0.26%
28-Jan-20,1853.25 ,1840.50 ,1858.11 ,1830.02 ,2.81M,1.36%
27-Jan-20,1828.34 ,1820.00 ,1841.00 ,1815.34 ,3.53M,-1.79%
24-Jan-20,1861.64 ,1891.37 ,1894.99 ,1847.44 ,3.77M,-1.22%
23-Jan-20,1884.58 ,1885.11 ,1889.97 ,1872.76 ,2.48M,-0.15%
22-Jan-20,1887.46 ,1896.09 ,1902.50 ,1883.34 ,3.22M,-0.24%
21-Jan-20,1892.00 ,1865.00 ,1894.27 ,1860.00 ,3.71M,1.46%
17-Jan-20,1864.72 ,1885.89 ,1886.64 ,1857.25 ,4.00M,-0.70%
16-Jan-20,1877.94 ,1882.99 ,1885.59 ,1866.02 ,2.66M,0.85%
15-Jan-20,1862.02 ,1872.25 ,1878.86 ,1855.09 ,2.90M,-0.40%
14-Jan-20,1869.44 ,1885.88 ,1887.11 ,1858.55 ,3.45M,-1.16%
13-Jan-20,1891.30 ,1891.31 ,1898.00 ,1880.80 ,2.79M,0.43%
10-Jan-20,1883.16 ,1905.37 ,1906.94 ,1880.00 ,2.86M,-0.94%
09-Jan-20,1901.05 ,1909.89 ,1917.82 ,1895.80 ,3.17M,0.48%
08-Jan-20,1891.97 ,1898.04 ,1911.00 ,1886.44 ,3.51M,-0.78%
07-Jan-20,1906.86 ,1904.50 ,1913.89 ,1892.04 ,4.13M,0.21%
06-Jan-20,1902.88 ,1860.00 ,1903.69 ,1860.00 ,4.07M,1.49%
03-Jan-20,1874.97 ,1864.50 ,1886.20 ,1864.50 ,3.77M,-1.21%
02-Jan-20,1898.01 ,1875.00 ,1898.01 ,1864.15 ,4.04M,2.72%
31-Dec-19,1847.84 ,1842.00 ,1853.26 ,1832.23 ,2.51M,0.05%
30-Dec-19,1846.89 ,1874.00 ,1884.00 ,1840.62 ,3.68M,-1.23%
27-Dec-19,1869.80 ,1882.92 ,1901.40 ,1866.01 ,6.19M,0.06%
26-Dec-19,1868.77 ,1801.01 ,1870.46 ,1799.50 ,6.02M,4.45%
24-Dec-19,1789.21 ,1793.81 ,1795.57 ,1787.58 ,881.34K,-0.21%
