"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","28.39","28.25","28.41","27.40","111.24M","2.31%"
"Mar 03, 2020","27.75","29.32","29.69","27.63","138.70M","-5.52%"
"Mar 02, 2020","29.37","28.38","29.37","27.47","147.78M","3.05%"
"Feb 28, 2020","28.50","27.93","28.74","27.70","171.26M","-2.16%"
"Feb 27, 2020","29.13","29.55","30.30","28.91","121.15M","-4.90%"
"Feb 26, 2020","30.63","31.39","31.60","30.56","80.07M","-1.45%"
"Feb 25, 2020","31.08","32.69","32.76","30.84","91.59M","-5.04%"
"Feb 24, 2020","32.73","33.18","33.21","32.52","79.16M","-4.74%"
"Feb 21, 2020","34.36","34.53","34.63","34.13","46.68M","-1.41%"
"Feb 20, 2020","34.85","34.46","35.08","34.46","42.60M","0.37%"
"Feb 19, 2020","34.72","34.45","34.85","34.41","29.63M","1.31%"
"Feb 18, 2020","34.27","34.77","34.83","34.01","40.33M","-1.66%"
"Feb 14, 2020","34.85","34.88","34.96","34.70","26.45M","-0.17%"
"Feb 13, 2020","34.91","34.76","35.03","34.55","31.78M","-0.03%"
"Feb 12, 2020","34.92","35.08","35.45","34.78","36.66M","0.43%"
"Feb 11, 2020","34.77","34.85","35.04","34.76","32.48M","0.23%"
"Feb 10, 2020","34.69","34.44","34.69","34.38","24.37M","0.23%"
"Feb 07, 2020","34.61","34.32","34.66","34.24","31.26M","-0.17%"
"Feb 06, 2020","34.67","34.94","35.01","34.60","39.51M","-0.12%"
"Feb 05, 2020","34.71","34.10","34.81","34.07","54.60M","3.24%"
"Feb 04, 2020","33.62","33.56","33.90","33.53","45.06M","1.97%"
"Feb 03, 2020","32.97","33.00","33.40","32.91","48.51M","0.43%"
"Jan 31, 2020","32.83","33.07","33.17","32.65","54.85M","-1.94%"
"Jan 30, 2020","33.48","32.70","33.52","32.67","50.54M","1.42%"
"Jan 29, 2020","33.01","33.33","33.44","32.98","37.43M","-0.69%"
"Jan 28, 2020","33.24","33.02","33.49","32.95","38.83M","1.19%"
"Jan 27, 2020","32.85","32.57","33.13","32.47","57.10M","-2.06%"
"Jan 24, 2020","33.54","34.12","34.14","33.27","47.80M","-1.70%"
"Jan 23, 2020","34.12","34.09","34.26","33.73","45.72M","-0.70%"
"Jan 22, 2020","34.36","34.37","34.45","34.23","38.88M","0.29%"
"Jan 21, 2020","34.26","34.42","34.52","34.22","50.81M","-1.30%"
"Jan 17, 2020","34.71","34.92","34.95","34.60","54.16M","-0.03%"
"Jan 16, 2020","34.72","34.90","34.99","34.60","50.37M","0.14%"
"Jan 15, 2020","34.67","34.77","34.79","34.34","74.75M","-1.84%"
"Jan 14, 2020","35.32","35.30","35.67","35.11","66.79M","0.74%"
"Jan 13, 2020","35.06","34.84","35.07","34.66","38.02M","0.92%"
"Jan 10, 2020","34.74","35.00","35.07","34.66","39.74M","-0.83%"
"Jan 09, 2020","35.03","35.30","35.33","34.94","39.88M","0.17%"
"Jan 08, 2020","34.97","34.57","35.19","34.55","45.34M","1.01%"
"Jan 07, 2020","34.62","34.70","34.92","34.53","34.35M","-0.66%"
"Jan 06, 2020","34.85","34.41","34.90","34.37","42.23M","-0.14%"
"Jan 03, 2020","34.90","34.98","35.15","34.76","50.76M","-2.08%"
"Jan 02, 2020","35.64","35.35","35.66","35.29","37.64M","1.19%"
"Dec 31, 2019","35.22","35.03","35.26","34.97","29.64M","0.20%"
"Dec 30, 2019","35.15","35.57","35.65","35.09","30.72M","-0.57%"
