Date,Price,Open,High,Low,Vol.,Change %
05-Mar-20,9106.00 ,8795.30 ,9158.90 ,8795.30 ,6.42K,3.61%
04-Mar-20,8788.58 ,8791.10 ,8877.70 ,8718.40 ,4.17K,-0.03%
03-Mar-20,8791.10 ,8938.50 ,8940.00 ,8700.00 ,5.32K,-1.64%
02-Mar-20,8938.10 ,8556.80 ,8990.80 ,8524.63 ,5.32K,4.35%
01-Mar-20,8565.20 ,8561.50 ,8775.00 ,8460.00 ,5.39K,0.09%
29-Feb-20,8557.30 ,8730.60 ,8820.90 ,8557.30 ,2.50K,-1.96%
28-Feb-20,8728.00 ,8826.10 ,8908.30 ,8455.20 ,7.09K,-1.11%
27-Feb-20,8825.80 ,8813.20 ,8975.00 ,8555.00 ,8.39K,0.14%
26-Feb-20,8813.20 ,9324.80 ,9385.90 ,8652.70 ,14.59K,-5.51%
25-Feb-20,9327.53 ,9674.02 ,9686.60 ,9251.40 ,8.49K,-3.58%
24-Feb-20,9674.10 ,9983.80 ,10022.00 ,9484.32 ,6.59K,-3.11%
23-Feb-20,9985.00 ,9663.00 ,10001.00 ,9660.20 ,7.30K,3.34%
22-Feb-20,9662.40 ,9693.00 ,9714.00 ,9565.20 ,1.84K,-0.32%
21-Feb-20,9693.46 ,9609.20 ,9757.40 ,9567.90 ,11.10K,0.89%
20-Feb-20,9608.10 ,9586.20 ,9694.70 ,9362.40 ,6.50K,0.17%
19-Feb-20,9592.20 ,10184.00 ,10309.00 ,9350.32 ,13.94K,-5.80%
18-Feb-20,10183.00 ,9708.00 ,10275.00 ,9625.90 ,8.25K,4.89%
17-Feb-20,9708.00 ,9929.70 ,9963.80 ,9501.54 ,9.30K,-2.23%
16-Feb-20,9929.70 ,9901.00 ,10037.00 ,9651.40 ,6.93K,0.29%
15-Feb-20,9901.00 ,10335.00 ,10369.99 ,9800.30 ,6.40K,-4.20%
14-Feb-20,10335.00 ,10222.00 ,10371.00 ,10101.00 ,4.13K,1.11%
13-Feb-20,10222.00 ,10338.00 ,10489.00 ,10080.00 ,8.98K,-1.13%
12-Feb-20,10339.00 ,10249.00 ,10458.00 ,10238.00 ,8.71K,0.90%
11-Feb-20,10247.00 ,9851.20 ,10316.00 ,9720.00 ,8.45K,4.03%
10-Feb-20,9850.20 ,10151.50 ,10187.00 ,9737.80 ,8.52K,-2.96%
09-Feb-20,10151.00 ,9877.30 ,10161.00 ,9871.10 ,9.64K,2.77%
08-Feb-20,9877.20 ,9805.20 ,9920.70 ,9657.80 ,5.53K,0.73%
07-Feb-20,9805.20 ,9745.00 ,9859.60 ,9695.50 ,3.70K,0.62%
06-Feb-20,9744.90 ,9612.00 ,9860.00 ,9547.00 ,8.58K,1.38%
05-Feb-20,9612.00 ,9197.50 ,9731.20 ,9180.20 ,10.77K,4.51%
04-Feb-20,9197.40 ,9309.20 ,9359.80 ,9112.50 ,4.07K,-1.20%
03-Feb-20,9309.30 ,9353.09 ,9625.30 ,9247.10 ,6.72K,-0.47%
02-Feb-20,9353.10 ,9408.00 ,9501.00 ,9175.43 ,6.44K,-0.61%
01-Feb-20,9410.60 ,9371.30 ,9476.40 ,9318.10 ,2.53K,0.46%
31-Jan-20,9367.40 ,9512.70 ,9519.90 ,9221.90 ,4.87K,-1.53%
30-Jan-20,9512.70 ,9305.10 ,9550.00 ,9175.70 ,9.02K,2.24%
29-Jan-20,9304.20 ,9390.90 ,9442.00 ,9244.40 ,4.60K,-0.95%
28-Jan-20,9393.70 ,8912.10 ,9413.00 ,8912.10 ,9.12K,5.41%
27-Jan-20,8912.00 ,8622.00 ,9001.80 ,8585.19 ,6.28K,3.37%
26-Jan-20,8621.60 ,8351.10 ,8622.00 ,8303.60 ,3.52K,3.21%
25-Jan-20,8353.70 ,8447.10 ,8447.20 ,8280.00 ,2.10K,-1.11%
24-Jan-20,8447.10 ,8403.57 ,8521.81 ,8247.70 ,3.51K,0.52%
23-Jan-20,8403.50 ,8668.90 ,8669.30 ,8296.90 ,5.70K,-3.01%
22-Jan-20,8663.90 ,8734.20 ,8799.90 ,8580.63 ,2.35K,-0.80%
21-Jan-20,8734.10 ,8638.20 ,8782.80 ,8512.20 ,3.25K,1.11%
20-Jan-20,8638.20 ,8698.60 ,8741.10 ,8519.60 ,4.11K,-0.64%
19-Jan-20,8694.00 ,8891.60 ,9169.50 ,8455.70 ,12.41K,-2.22%
18-Jan-20,8891.50 ,8873.10 ,8965.00 ,8794.23 ,3.46K,0.18%
17-Jan-20,8875.40 ,8719.55 ,8994.90 ,8674.20 ,9.69K,1.78%
16-Jan-20,8720.60 ,8810.90 ,8839.90 ,8579.80 ,5.31K,-0.99%
15-Jan-20,8807.70 ,8760.84 ,8873.00 ,8560.20 ,8.78K,0.37%
14-Jan-20,8775.60 ,8104.10 ,8829.00 ,8099.30 ,16.57K,8.41%
13-Jan-20,8094.54 ,8174.90 ,8198.30 ,8053.60 ,2.59K,-0.98%
12-Jan-20,8174.70 ,8013.63 ,8174.70 ,7951.70 ,3.21K,2.01%
