"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","67.39","66.01","67.50","64.38","24.19M","3.60%"
"Mar 03, 2020","65.05","67.74","68.43","64.49","29.55M","-3.76%"
"Mar 02, 2020","67.59","63.83","67.59","63.15","29.01M","6.51%"
"Feb 28, 2020","63.46","62.00","64.42","61.36","46.03M","-1.54%"
"Feb 27, 2020","64.45","66.10","66.89","64.40","34.66M","-5.47%"
"Feb 26, 2020","68.18","70.02","70.61","68.16","25.58M","-1.80%"
"Feb 25, 2020","69.43","72.63","73.21","69.00","27.45M","-4.27%"
"Feb 24, 2020","72.53","73.38","74.05","72.44","21.10M","-5.12%"
"Feb 21, 2020","76.44","77.56","77.96","76.15","14.02M","-2.28%"
"Feb 20, 2020","78.22","77.66","78.69","77.31","11.76M","0.22%"
"Feb 19, 2020","78.05","77.87","78.39","77.62","9.15M","0.61%"
"Feb 18, 2020","77.58","78.61","78.86","77.51","10.36M","-1.54%"
"Feb 14, 2020","78.79","78.89","79.09","78.45","9.06M","-0.27%"
"Feb 13, 2020","79.00","78.89","79.28","78.62","8.95M","-0.42%"
"Feb 12, 2020","79.33","79.90","80.77","79.30","9.48M","0.30%"
"Feb 11, 2020","79.09","78.75","79.55","78.64","9.44M","0.78%"
"Feb 10, 2020","78.48","78.08","78.74","78.05","8.42M","-0.27%"
"Feb 07, 2020","78.69","78.13","79.05","78.06","8.34M","-0.35%"
"Feb 06, 2020","78.97","79.80","79.86","78.40","12.83M","0.15%"
"Feb 05, 2020","78.85","77.92","78.98","77.81","13.07M","3.07%"
"Feb 04, 2020","76.50","76.75","77.27","76.43","12.17M","1.82%"
"Feb 03, 2020","75.13","74.70","76.21","74.70","11.10M","0.97%"
"Jan 31, 2020","74.41","75.96","76.18","73.91","17.10M","-3.90%"
"Jan 30, 2020","77.43","75.74","77.54","75.50","12.50M","1.24%"
"Jan 29, 2020","76.48","77.54","77.90","76.41","9.48M","-0.98%"
"Jan 28, 2020","77.24","77.21","78.13","76.78","10.96M","0.69%"
"Jan 27, 2020","76.71","76.26","77.00","75.85","15.86M","-2.18%"
"Jan 24, 2020","78.42","79.62","79.67","77.64","15.04M","-1.73%"
"Jan 23, 2020","79.80","79.58","80.08","78.92","11.62M","-0.37%"
"Jan 22, 2020","80.10","80.20","80.48","79.86","8.05M","0.25%"
"Jan 21, 2020","79.90","80.48","80.91","79.87","10.52M","-1.50%"
"Jan 17, 2020","81.12","81.16","81.40","80.81","12.41M","0.15%"
"Jan 16, 2020","81.00","81.96","82.13","80.84","10.43M","-0.30%"
"Jan 15, 2020","81.24","81.73","82.05","80.73","16.06M","-0.82%"
"Jan 14, 2020","81.91","81.20","83.11","80.97","24.98M","1.56%"
"Jan 13, 2020","80.65","79.50","80.72","79.00","16.59M","1.77%"
"Jan 10, 2020","79.25","80.00","80.01","79.07","10.06M","-1.04%"
"Jan 09, 2020","80.08","80.98","80.98","79.73","12.90M","0.91%"
"Jan 08, 2020","79.36","78.77","80.00","78.68","11.29M","0.76%"
"Jan 07, 2020","78.76","79.29","79.30","78.73","10.49M","-0.87%"
"Jan 06, 2020","79.45","78.72","79.55","78.72","10.07M","-0.31%"
"Jan 03, 2020","79.70","79.80","80.52","79.45","12.66M","-1.88%"
"Jan 02, 2020","81.23","80.13","81.26","80.03","12.73M","1.68%"
"Dec 31, 2019","79.89","79.32","79.94","79.10","8.03M","0.48%"
"Dec 30, 2019","79.51","80.15","80.42","79.34","10.09M","-0.20%"
"Dec 27, 2019","79.67","80.00","80.18","79.58","10.87M","-0.20%"
"Dec 26, 2019","79.83","78.75","79.84","78.65","12.00M","1.58%"
"Dec 24, 2019","78.59","78.70","78.94","78.46","4.58M","-0.22%"
"Dec 23, 2019","78.76","78.67","78.97","78.44","9.26M","0.32%"
"Dec 20, 2019","78.51","78.94","79.05","78.04","32.02M","0.40%"
"Dec 19, 2019","78.20","78.00","78.52","77.94","13.01M","0.36%"
"Dec 18, 2019","77.92","77.70","78.33","77.66","12.64M","0.23%"
"Dec 17, 2019","77.74","77.29","78.12","77.13","14.41M","1.08%"
"Dec 16, 2019","76.91","77.36","77.60","76.90","13.97M","0.68%"
"Dec 13, 2019","76.39","77.05","77.83","76.06","13.45M","-0.86%"
"Dec 12, 2019","77.05","75.81","77.52","75.62","15.83M","1.99%"
"Dec 11, 2019","75.55","76.12","76.21","75.50","10.49M","-0.30%"
"Dec 10, 2019","75.78","75.07","76.27","74.87","13.02M","0.60%"
"Dec 09, 2019","75.33","75.18","75.92","75.08","8.92M","-0.63%"
"Dec 06, 2019","75.81","75.93","76.22","75.60","9.88M","1.47%"
"Dec 05, 2019","74.71","74.65","74.84","74.35","9.58M","0.65%"
"Dec 04, 2019","74.23","73.83","74.59","73.42","8.27M","1.23%"
"Dec 03, 2019","73.33","73.38","73.47","72.50","13.79M","-1.60%"
"Dec 02, 2019","74.52","75.42","75.93","74.43","11.09M","-0.80%"
"Nov 29, 2019","75.12","75.43","75.80","74.99","6.25M","-0.79%"
"Nov 27, 2019","75.72","75.84","76.13","75.50","7.59M","0.34%"
"Nov 26, 2019","75.46","75.84","75.84","74.82","11.31M","-0.29%"
"Nov 25, 2019","75.68","74.93","75.85","74.87","11.50M","1.08%"
"Nov 22, 2019","74.87","74.10","74.92","73.97","7.91M","1.31%"
"Nov 21, 2019","73.90","74.08","74.63","73.51","8.59M","-0.01%"
"Nov 20, 2019","73.91","74.63","74.72","73.22","12.80M","-1.22%"
"Nov 19, 2019","74.82","74.97","75.24","74.47","9.10M","0.56%"
"Nov 18, 2019","74.40","74.29","74.64","73.56","8.53M","0.00%"
"Nov 15, 2019","74.40","74.34","74.46","73.68","10.30M","0.76%"
"Nov 14, 2019","73.84","73.61","74.01","73.33","9.46M","-0.09%"
"Nov 13, 2019","73.91","74.25","74.91","73.71","14.06M","-1.55%"
"Nov 12, 2019","75.07","75.55","75.96","75.01","11.07M","-0.70%"
"Nov 11, 2019","75.60","75.45","76.08","75.24","6.02M","-0.68%"
"Nov 08, 2019","76.12","75.48","76.12","75.06","7.93M","0.41%"
"Nov 07, 2019","75.81","75.41","76.28","75.41","14.34M","1.87%"
"Nov 06, 2019","74.42","74.42","75.05","73.97","12.63M","-0.55%"
"Nov 05, 2019","74.83","75.19","75.97","74.64","14.40M","-0.43%"
"Nov 04, 2019","75.15","74.94","75.27","74.11","12.59M","1.77%"
"Nov 01, 2019","73.84","72.25","73.99","72.10","12.94M","2.76%"
"Oct 31, 2019","71.86","72.36","72.97","71.33","16.86M","-1.52%"
"Oct 30, 2019","72.97","72.75","73.35","72.10","12.43M","-0.16%"
"Oct 29, 2019","73.09","73.14","73.79","72.72","9.59M","-0.68%"
"Oct 28, 2019","73.59","73.73","74.28","73.44","13.09M","0.57%"
"Oct 25, 2019","73.17","71.97","73.42","71.81","10.50M","1.20%"
"Oct 24, 2019","72.30","72.55","72.86","71.86","7.47M","-0.21%"
"Oct 23, 2019","72.45","71.90","72.47","71.73","10.33M","0.54%"
"Oct 22, 2019","72.06","71.72","72.87","71.47","11.06M","0.35%"
"Oct 21, 2019","71.81","70.52","71.89","70.52","13.11M","2.97%"
"Oct 18, 2019","69.74","69.32","70.09","69.14","10.42M","0.20%"
"Oct 17, 2019","69.60","70.03","70.34","69.18","11.39M","0.14%"
"Oct 16, 2019","69.50","70.82","71.46","69.42","17.36M","-2.42%"
"Oct 15, 2019","71.22","70.17","72.08","68.70","22.04M","1.40%"
"Oct 14, 2019","70.24","69.53","70.50","69.46","11.50M","0.20%"
"Oct 11, 2019","70.10","69.99","70.93","69.99","14.93M","2.16%"
"Oct 10, 2019","68.62","67.77","69.29","67.55","9.92M","1.76%"
"Oct 09, 2019","67.43","67.00","67.77","66.79","8.39M","1.55%"
"Oct 08, 2019","66.40","67.03","67.18","66.03","13.51M","-2.57%"
"Oct 07, 2019","68.15","67.87","68.84","67.86","7.84M","-0.04%"
"Oct 04, 2019","68.18","66.76","68.24","66.67","11.02M","2.22%"
"Oct 03, 2019","66.70","66.08","66.73","64.79","12.71M","0.66%"
"Oct 02, 2019","66.26","67.76","67.80","66.19","15.11M","-2.77%"
"Oct 01, 2019","68.15","69.57","70.27","68.01","12.47M","-1.35%"
"Sep 30, 2019","69.08","69.80","69.90","69.01","8.68M","-0.55%"
"Sep 27, 2019","69.46","69.82","70.36","69.06","11.56M","0.51%"
"Sep 26, 2019","69.11","69.32","69.53","68.80","8.56M","-0.39%"
"Sep 25, 2019","69.38","67.91","69.70","67.87","12.26M","2.18%"
"Sep 24, 2019","67.90","69.50","69.57","67.56","16.83M","-2.37%"
"Sep 23, 2019","69.55","68.62","69.70","68.61","9.60M","0.29%"
"Sep 20, 2019","69.35","70.15","70.54","69.33","26.09M","-0.54%"
"Sep 19, 2019","69.73","70.06","70.47","69.59","10.14M","-0.51%"
"Sep 18, 2019","70.09","69.21","70.34","68.96","11.33M","0.88%"
"Sep 17, 2019","69.48","69.78","69.78","68.67","10.94M","-0.50%"
"Sep 16, 2019","69.83","68.96","70.11","68.96","12.06M","-0.80%"
"Sep 13, 2019","70.39","70.34","70.74","69.85","14.31M","1.57%"
"Sep 12, 2019","69.30","68.11","70.06","67.93","15.53M","0.58%"
"Sep 11, 2019","68.90","68.72","69.21","68.11","11.86M","-0.12%"
