"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","75.37","73.62","75.42","73.01","7.17M","5.00%"
"Mar 03, 2020","71.78","72.58","74.03","71.26","7.49M","-0.91%"
"Mar 02, 2020","72.44","68.60","72.55","68.60","7.94M","7.21%"
"Feb 28, 2020","67.57","68.91","69.34","66.35","11.13M","-3.68%"
"Feb 27, 2020","70.15","73.06","73.72","70.13","6.18M","-3.80%"
"Feb 26, 2020","72.92","74.00","74.47","72.90","4.19M","-1.19%"
"Feb 25, 2020","73.80","74.40","74.99","73.52","5.74M","-0.83%"
"Feb 24, 2020","74.42","71.71","75.72","71.19","5.58M","-2.43%"
"Feb 21, 2020","76.27","75.19","76.54","75.11","5.34M","1.48%"
"Feb 20, 2020","75.16","75.46","75.65","74.25","3.35M","-0.50%"
"Feb 19, 2020","75.54","76.00","76.27","75.50","2.69M","-0.70%"
"Feb 18, 2020","76.07","76.61","76.69","76.05","4.37M","-0.81%"
"Feb 14, 2020","76.69","76.36","76.70","76.11","2.82M","0.42%"
"Feb 13, 2020","76.37","75.72","76.61","75.62","2.91M","0.55%"
"Feb 12, 2020","75.95","76.21","76.32","75.50","3.74M","-0.21%"
"Feb 11, 2020","76.11","77.24","77.29","76.10","3.99M","-1.60%"
"Feb 10, 2020","77.35","75.96","77.41","75.96","4.42M","1.74%"
"Feb 07, 2020","76.03","76.40","76.52","75.90","3.22M","-0.37%"
"Feb 06, 2020","76.31","75.97","76.60","75.83","4.66M","0.77%"
"Feb 05, 2020","75.73","75.25","75.87","74.51","4.28M","0.44%"
"Feb 04, 2020","75.40","75.28","76.20","75.19","4.67M","0.63%"
"Feb 03, 2020","74.93","74.06","75.45","74.06","7.73M","1.56%"
"Jan 31, 2020","73.78","73.64","74.97","73.37","13.59M","6.20%"
"Jan 30, 2020","69.47","68.80","69.70","68.56","3.54M","0.93%"
"Jan 29, 2020","68.83","69.75","69.89","68.81","3.23M","-1.26%"
"Jan 28, 2020","69.71","70.12","70.49","69.56","2.77M","-0.56%"
"Jan 27, 2020","70.10","70.15","70.79","69.77","3.69M","-0.28%"
"Jan 24, 2020","70.30","70.83","71.08","70.08","2.94M","-0.44%"
"Jan 23, 2020","70.61","70.07","71.06","70.00","2.58M","0.11%"
"Jan 22, 2020","70.53","70.88","71.08","70.51","2.89M","-1.07%"
"Jan 21, 2020","71.29","71.07","71.38","70.25","6.47M","0.15%"
"Jan 17, 2020","71.18","70.43","71.30","70.43","4.02M","0.61%"
"Jan 16, 2020","70.75","70.96","71.17","70.67","2.72M","-0.07%"
"Jan 15, 2020","70.80","70.34","71.05","70.34","3.61M","0.73%"
"Jan 14, 2020","70.29","70.14","70.40","70.03","4.71M","0.21%"
"Jan 13, 2020","70.14","70.16","70.56","69.80","4.64M","-0.01%"
"Jan 10, 2020","70.15","69.73","70.43","69.45","3.72M","0.42%"
"Jan 09, 2020","69.86","69.38","69.94","69.06","4.00M","0.85%"
"Jan 08, 2020","69.27","67.80","69.65","67.73","4.68M","2.55%"
"Jan 07, 2020","67.55","68.46","68.46","67.47","4.50M","-1.37%"
"Jan 06, 2020","68.49","68.08","68.85","68.01","4.61M","0.69%"
"Jan 03, 2020","68.02","67.84","68.47","67.67","3.47M","-0.15%"
"Jan 02, 2020","68.12","68.84","68.94","67.89","3.21M","-1.05%"
"Dec 31, 2019","68.84","68.77","68.92","68.38","1.96M","0.07%"
"Dec 30, 2019","68.79","68.87","69.10","68.55","1.81M","-0.56%"
"Dec 27, 2019","69.18","68.84","69.34","68.83","2.94M","0.87%"
"Dec 26, 2019","68.58","68.80","68.98","68.43","2.49M","0.04%"
"Dec 24, 2019","68.55","68.65","68.73","68.26","816.69K","-0.25%"
"Dec 23, 2019","68.72","69.01","69.06","68.60","2.78M","-0.19%"
"Dec 20, 2019","68.85","69.10","69.30","68.76","6.01M","0.75%"
"Dec 19, 2019","68.34","67.27","68.48","67.27","4.29M","0.10%"
"Dec 18, 2019","68.27","68.13","68.43","67.69","5.85M","0.63%"
"Dec 17, 2019","67.84","68.65","68.65","67.81","4.65M","-1.50%"
"Dec 16, 2019","68.87","68.84","69.23","68.52","3.37M","0.26%"
"Dec 13, 2019","68.69","67.23","68.87","67.07","5.18M","2.17%"
"Dec 12, 2019","67.23","67.55","67.83","66.94","3.66M","-0.34%"
"Dec 11, 2019","67.46","67.92","68.68","67.30","3.23M","-0.69%"
"Dec 10, 2019","67.93","68.31","68.67","67.84","3.82M","-0.98%"
"Dec 09, 2019","68.60","68.25","68.67","68.01","3.63M","0.53%"
"Dec 06, 2019","68.24","67.88","68.33","67.39","3.50M","0.62%"
"Dec 05, 2019","67.82","67.86","67.92","67.36","4.06M","-0.38%"
"Dec 04, 2019","68.08","67.12","68.16","67.12","3.28M","1.16%"
"Dec 03, 2019","67.30","67.63","67.63","66.80","3.79M","-0.40%"
"Dec 02, 2019","67.57","68.00","68.00","67.13","3.49M","-0.37%"
"Nov 29, 2019","67.82","67.81","67.98","67.49","1.39M","0.21%"
"Nov 27, 2019","67.68","67.79","67.89","67.22","2.52M","-0.16%"
"Nov 26, 2019","67.79","67.20","67.80","67.02","3.51M","1.21%"
"Nov 25, 2019","66.98","66.83","66.98","66.34","3.02M","0.40%"
"Nov 22, 2019","66.71","66.61","66.88","66.22","2.62M","-0.06%"
