"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","7.08","7.08","7.08","6.92","70.59M","1.58%"
"Mar 03, 2020","6.97","7.25","7.33","6.90","97.46M","-3.19%"
"Mar 02, 2020","7.20","7.09","7.23","6.88","96.77M","3.45%"
"Feb 28, 2020","6.96","6.82","6.96","6.67","116.55M","-0.14%"
"Feb 27, 2020","6.97","7.13","7.28","6.92","118.64M","-3.33%"
"Feb 26, 2020","7.21","7.30","7.46","7.21","92.52M","-0.28%"
"Feb 25, 2020","7.23","7.68","7.68","7.22","108.89M","-4.49%"
"Feb 24, 2020","7.57","7.70","7.72","7.55","110.05M","-4.06%"
"Feb 21, 2020","7.89","8.02","8.03","7.89","58.33M","-1.74%"
"Feb 20, 2020","8.03","8.00","8.07","7.99","52.32M","0.37%"
"Feb 19, 2020","8.00","8.06","8.10","8.00","69.67M","-0.74%"
"Feb 18, 2020","8.06","8.12","8.15","8.02","65.21M","-0.49%"
"Feb 14, 2020","8.10","8.27","8.27","8.08","46.36M","-1.82%"
"Feb 13, 2020","8.25","8.21","8.36","8.21","67.65M","0.12%"
"Feb 12, 2020","8.24","8.14","8.33","8.13","111.54M","1.73%"
"Feb 11, 2020","8.10","8.10","8.15","8.08","80.16M","0.50%"
"Feb 10, 2020","8.06","8.15","8.15","8.05","71.83M","-0.62%"
"Feb 07, 2020","8.11","8.21","8.21","8.02","98.26M","-1.70%"
"Feb 06, 2020","8.25","8.37","8.38","8.25","68.82M","-0.72%"
"Feb 05, 2020","8.31","8.41","8.48","8.26","145.79M","-9.48%"
"Feb 04, 2020","9.18","9.08","9.24","9.07","86.20M","2.23%"
"Feb 03, 2020","8.98","8.85","9.14","8.85","71.43M","1.81%"
"Jan 31, 2020","8.82","8.78","8.84","8.74","59.81M","-0.23%"
"Jan 30, 2020","8.84","8.81","8.84","8.73","42.83M","-0.23%"
"Jan 29, 2020","8.86","8.85","8.96","8.84","59.07M","-1.23%"
"Jan 28, 2020","8.97","8.94","9.00","8.86","85.16M","0.90%"
"Jan 27, 2020","8.89","8.88","8.96","8.78","60.77M","-1.22%"
"Jan 24, 2020","9.00","9.11","9.12","8.96","68.10M","-1.53%"
"Jan 23, 2020","9.14","9.14","9.16","8.93","75.85M","-0.22%"
"Jan 22, 2020","9.16","9.22","9.25","9.15","39.91M","-0.54%"
"Jan 21, 2020","9.21","9.15","9.22","9.10","49.56M","0.55%"
"Jan 17, 2020","9.16","9.19","9.23","9.13","41.64M","-0.11%"
"Jan 16, 2020","9.17","9.23","9.28","9.15","44.31M","-0.22%"
"Jan 15, 2020","9.19","9.27","9.30","9.18","55.92M","-1.08%"
"Jan 14, 2020","9.29","9.22","9.33","9.21","42.94M","0.54%"
"Jan 13, 2020","9.24","9.25","9.26","9.11","48.56M","-0.11%"
"Jan 10, 2020","9.25","9.27","9.36","9.25","39.82M","-0.11%"
"Jan 09, 2020","9.26","9.30","9.31","9.18","51.91M","0.11%"
"Jan 08, 2020","9.25","9.23","9.30","9.17","46.00M","0.00%"
"Jan 07, 2020","9.25","9.20","9.25","9.12","45.33M","0.98%"
"Jan 06, 2020","9.16","9.10","9.17","9.06","43.38M","-0.54%"
"Jan 03, 2020","9.21","9.31","9.37","9.15","45.06M","-2.23%"
"Jan 02, 2020","9.42","9.29","9.42","9.19","43.43M","1.29%"
"Dec 31, 2019","9.30","9.25","9.33","9.24","32.35M","0.54%"
"Dec 30, 2019","9.25","9.34","9.35","9.23","36.09M","-1.18%"
"Dec 27, 2019","9.36","9.45","9.46","9.35","28.27M","-0.95%"
"Dec 26, 2019","9.45","9.47","9.49","9.43","28.98M","-0.21%"
"Dec 24, 2019","9.47","9.44","9.49","9.43","11.88M","0.32%"
"Dec 23, 2019","9.44","9.50","9.57","9.40","54.80M","-0.42%"
"Dec 20, 2019","9.48","9.50","9.54","9.44","50.20M","0.74%"
"Dec 19, 2019","9.41","9.55","9.57","9.38","42.24M","-1.36%"
"Dec 18, 2019","9.54","9.39","9.57","9.36","45.93M","1.60%"
"Dec 17, 2019","9.39","9.38","9.41","9.31","35.52M","0.00%"
"Dec 16, 2019","9.39","9.24","9.39","9.22","42.34M","1.73%"
"Dec 13, 2019","9.23","9.32","9.39","9.19","35.33M","-0.97%"
"Dec 12, 2019","9.32","9.11","9.36","9.11","48.40M","2.31%"
"Dec 11, 2019","9.11","9.06","9.14","9.05","33.21M","0.44%"
"Dec 10, 2019","9.07","9.02","9.10","8.96","34.23M","0.67%"
"Dec 09, 2019","9.01","8.97","9.07","8.96","21.90M","-0.11%"
"Dec 06, 2019","9.02","8.96","9.07","8.95","31.11M","1.01%"
"Dec 05, 2019","8.93","8.97","9.00","8.88","25.77M","-0.22%"
"Dec 04, 2019","8.95","8.95","9.03","8.94","29.99M","0.67%"
"Dec 03, 2019","8.89","8.95","8.95","8.80","41.12M","-1.33%"
"Dec 02, 2019","9.01","9.08","9.14","9.00","37.27M","-0.55%"
"Nov 29, 2019","9.06","9.04","9.10","9.03","13.10M","-0.44%"
"Nov 27, 2019","9.10","9.03","9.15","9.02","37.42M","1.00%"
"Nov 26, 2019","9.01","8.98","9.02","8.91","30.11M","0.11%"
"Nov 25, 2019","9.00","8.90","9.01","8.87","30.62M","1.24%"
"Nov 22, 2019","8.89","8.80","8.90","8.77","34.97M","2.07%"
"Nov 21, 2019","8.71","8.77","8.79","8.67","33.16M","-0.23%"
"Nov 20, 2019","8.73","8.88","8.89","8.68","38.29M","-1.91%"
"Nov 19, 2019","8.90","8.99","9.00","8.87","31.19M","-0.56%"
"Nov 18, 2019","8.95","9.05","9.05","8.89","38.30M","0.00%"
"Nov 15, 2019","8.95","8.85","8.96","8.85","26.43M","1.82%"
"Nov 14, 2019","8.79","8.85","8.91","8.78","26.54M","-0.23%"
"Nov 13, 2019","8.81","9.00","9.00","8.80","34.82M","-2.54%"
"Nov 12, 2019","9.04","9.06","9.13","9.04","28.71M","-0.44%"
"Nov 11, 2019","9.08","8.95","9.10","8.94","24.85M","0.44%"
"Nov 08, 2019","9.04","8.90","9.04","8.82","29.49M","1.69%"
"Nov 07, 2019","8.89","8.96","9.01","8.88","32.64M","-0.34%"
"Nov 06, 2019","8.92","9.05","9.05","8.89","39.50M","-1.11%"
"Nov 05, 2019","9.02","9.02","9.15","9.00","37.57M","0.22%"
"Nov 04, 2019","9.00","8.93","9.05","8.93","46.72M","1.24%"
"Nov 01, 2019","8.89","8.64","8.93","8.64","55.35M","3.49%"
"Oct 31, 2019","8.59","8.58","8.60","8.50","29.12M","0.59%"
"Oct 30, 2019","8.54","8.64","8.64","8.52","28.69M","-1.16%"
"Oct 29, 2019","8.64","8.59","8.71","8.59","36.77M","0.35%"
"Oct 28, 2019","8.61","8.76","8.76","8.58","39.64M","-1.26%"
"Oct 25, 2019","8.72","8.67","8.75","8.62","51.37M","1.40%"
"Oct 24, 2019","8.60","8.87","8.89","8.55","121.12M","-6.62%"
"Oct 23, 2019","9.21","9.01","9.21","8.97","46.68M","1.54%"
"Oct 22, 2019","9.07","9.01","9.14","8.96","36.00M","0.44%"
"Oct 21, 2019","9.03","9.19","9.24","9.01","33.81M","-2.80%"
"Oct 18, 2019","9.29","9.09","9.32","9.09","42.43M","1.98%"
"Oct 17, 2019","9.11","9.12","9.14","9.03","28.65M","0.44%"
"Oct 16, 2019","9.07","9.11","9.19","9.06","27.39M","0.00%"
"Oct 15, 2019","9.07","8.84","9.10","8.78","31.04M","2.83%"
"Oct 14, 2019","8.82","8.82","8.84","8.76","25.44M","0.46%"
"Oct 11, 2019","8.78","8.73","8.87","8.73","34.21M","1.86%"
"Oct 10, 2019","8.62","8.58","8.65","8.52","28.22M","0.70%"
"Oct 09, 2019","8.56","8.61","8.64","8.56","16.98M","0.23%"
"Oct 08, 2019","8.54","8.65","8.66","8.50","31.60M","-1.61%"
"Oct 07, 2019","8.68","8.70","8.79","8.61","29.49M","-0.69%"
"Oct 04, 2019","8.74","8.72","8.76","8.66","28.10M","0.34%"
"Oct 03, 2019","8.71","8.55","8.71","8.45","41.25M","1.16%"
"Oct 02, 2019","8.61","8.85","8.86","8.44","68.29M","-3.26%"
"Oct 01, 2019","8.90","9.19","9.24","8.87","39.69M","-2.84%"
"Sep 30, 2019","9.16","9.11","9.21","9.10","22.49M","0.88%"
"Sep 27, 2019","9.08","9.14","9.60","9.06","32.46M","-0.66%"
"Sep 26, 2019","9.14","9.23","9.23","9.07","26.59M","-0.65%"
"Sep 25, 2019","9.20","9.10","9.23","9.09","20.56M","0.99%"
"Sep 24, 2019","9.11","9.19","9.22","9.05","33.17M","-0.55%"
"Sep 23, 2019","9.16","9.13","9.23","9.08","23.59M","-0.11%"
"Sep 20, 2019","9.17","9.13","9.30","9.11","38.12M","0.77%"
"Sep 19, 2019","9.10","9.31","9.33","9.10","29.13M","-1.62%"
"Sep 18, 2019","9.25","9.26","9.36","9.22","24.47M","-0.32%"
"Sep 17, 2019","9.28","9.27","9.31","9.18","27.51M","-0.22%"
"Sep 16, 2019","9.30","9.36","9.45","9.24","50.05M","-1.59%"
"Sep 13, 2019","9.45","9.47","9.59","9.44","27.16M","0.43%"
"Sep 12, 2019","9.41","9.36","9.48","9.32","35.69M","-0.11%"
"Sep 11, 2019","9.42","9.29","9.43","9.29","34.19M","0.00%"
"Sep 10, 2019","9.42","9.08","9.42","9.04","70.57M","-1.26%"
"Sep 09, 2019","9.54","9.39","9.65","9.39","48.06M","2.14%"
"Sep 06, 2019","9.34","9.37","9.41","9.20","29.21M","0.00%"
"Sep 05, 2019","9.34","9.25","9.40","9.25","36.64M","1.52%"
"Sep 04, 2019","9.20","9.17","9.23","9.07","27.41M","1.10%"
"Sep 03, 2019","9.10","9.18","9.20","9.04","26.33M","-0.76%"
"Aug 30, 2019","9.17","9.16","9.23","9.10","32.06M","0.55%"
"Aug 29, 2019","9.12","9.10","9.14","9.03","22.02M","1.33%"
"Aug 28, 2019","9.00","8.72","9.04","8.70","35.15M","2.74%"
"Aug 27, 2019","8.76","8.89","8.91","8.75","23.03M","-0.68%"
"Aug 26, 2019","8.82","8.88","8.91","8.79","31.89M","0.57%"
"Aug 23, 2019","8.77","8.90","8.99","8.73","44.99M","-2.99%"
"Aug 22, 2019","9.04","9.05","9.14","9.02","20.98M","0.00%"
"Aug 21, 2019","9.04","9.02","9.05","8.97","20.44M","0.89%"
"Aug 20, 2019","8.96","9.00","9.07","8.93","25.12M","-0.78%"
"Aug 19, 2019","9.03","9.05","9.10","9.02","21.84M","0.78%"
"Aug 16, 2019","8.96","8.92","9.00","8.81","27.37M","1.13%"
"Aug 15, 2019","8.86","9.06","9.06","8.78","40.68M","-1.56%"
"Aug 14, 2019","9.00","9.13","9.15","8.96","45.97M","-2.81%"
"Aug 13, 2019","9.26","9.29","9.42","9.18","28.31M","-0.32%"
"Aug 12, 2019","9.29","9.39","9.43","9.28","23.05M","-1.69%"
"Aug 09, 2019","9.45","9.54","9.58","9.39","38.74M","-1.15%"
"Aug 08, 2019","9.56","9.56","9.62","9.51","25.47M","0.31%"
"Aug 07, 2019","9.53","9.43","9.56","9.32","43.04M","0.53%"
"Aug 06, 2019","9.48","9.42","9.51","9.36","51.86M","2.71%"
"Aug 05, 2019","9.23","9.18","9.27","9.06","47.96M","-0.54%"
"Aug 02, 2019","9.28","9.26","9.34","9.21","41.50M","-0.32%"
"Aug 01, 2019","9.31","9.53","9.59","9.28","58.06M","-2.31%"
"Jul 31, 2019","9.53","9.57","9.58","9.40","56.72M","-0.21%"
"Jul 30, 2019","9.55","9.56","9.58","9.48","36.94M","-0.52%"
"Jul 29, 2019","9.60","9.60","9.68","9.52","36.49M","0.31%"
"Jul 26, 2019","9.57","9.58","9.65","9.51","47.71M","0.10%"
"Jul 25, 2019","9.56","9.75","9.78","9.40","133.90M","-7.45%"
"Jul 24, 2019","10.33","10.18","10.35","10.14","61.11M","1.57%"
"Jul 23, 2019","10.17","10.13","10.22","10.06","74.62M","1.50%"
"Jul 22, 2019","10.02","10.13","10.17","10.00","36.24M","-1.76%"
"Jul 19, 2019","10.20","10.30","10.32","10.20","38.51M","-0.58%"
"Jul 18, 2019","10.26","10.30","10.31","10.18","25.83M","-0.68%"
"Jul 17, 2019","10.33","10.48","10.50","10.31","25.20M","-1.71%"
"Jul 16, 2019","10.51","10.37","10.51","10.29","29.53M","0.86%"
"Jul 15, 2019","10.42","10.49","10.56","10.34","33.75M","-0.67%"
"Jul 12, 2019","10.49","10.24","10.50","10.24","40.76M","2.94%"
"Jul 11, 2019","10.19","10.15","10.20","10.11","27.67M","0.79%"
"Jul 10, 2019","10.11","10.19","10.26","10.11","29.08M","-0.30%"
"Jul 09, 2019","10.14","10.17","10.19","10.10","25.14M","-0.59%"
"Jul 08, 2019","10.20","10.20","10.26","10.18","23.24M","0.00%"
"Jul 05, 2019","10.20","10.18","10.27","10.09","21.40M","0.00%"
"Jul 03, 2019","10.20","10.18","10.30","10.13","19.33M","0.79%"
"Jul 02, 2019","10.12","10.15","10.21","10.04","29.72M","-0.30%"
"Jul 01, 2019","10.15","10.34","10.43","10.07","38.54M","-0.78%"
"Jun 28, 2019","10.23","10.20","10.31","10.20","37.56M","0.29%"
"Jun 27, 2019","10.20","10.04","10.24","10.00","42.95M","2.93%"
"Jun 26, 2019","9.91","9.87","9.96","9.82","33.74M","0.71%"
"Jun 25, 2019","9.84","9.97","9.99","9.83","28.68M","-1.11%"
"Jun 24, 2019","9.95","9.95","10.02","9.93","28.09M","-0.40%"
"Jun 21, 2019","9.99","10.03","10.05","9.91","47.90M","-0.50%"
"Jun 20, 2019","10.04","10.13","10.15","9.95","32.09M","0.00%"
"Jun 19, 2019","10.04","10.15","10.18","10.03","29.05M","-0.59%"
"Jun 18, 2019","10.10","10.08","10.20","10.05","32.59M","0.50%"
"Jun 17, 2019","10.05","9.99","10.09","9.94","19.38M","0.70%"
"Jun 14, 2019","9.98","10.01","10.04","9.94","21.55M","-0.80%"
"Jun 13, 2019","10.06","9.87","10.06","9.80","25.56M","2.13%"
"Jun 12, 2019","9.85","9.90","9.93","9.84","21.75M","-0.71%"
"Jun 11, 2019","9.92","9.87","9.98","9.79","26.43M","1.02%"
"Jun 10, 2019","9.82","9.89","10.03","9.76","33.88M","0.61%"
"Jun 07, 2019","9.76","9.76","9.82","9.70","18.85M","0.10%"
"Jun 06, 2019","9.75","9.72","9.82","9.66","28.29M","-0.31%"
"Jun 05, 2019","9.78","9.87","9.92","9.65","42.46M","-1.41%"
"Jun 04, 2019","9.92","9.73","9.95","9.72","37.32M","3.23%"
"Jun 03, 2019","9.61","9.62","9.65","9.46","39.45M","0.95%"
"May 31, 2019","9.52","9.48","9.54","9.32","48.25M","-2.26%"
"May 30, 2019","9.74","9.74","9.84","9.68","24.76M","0.31%"
"May 29, 2019","9.71","9.69","9.75","9.55","32.26M","-0.72%"
"May 28, 2019","9.78","9.87","9.90","9.77","27.66M","-0.51%"
"May 24, 2019","9.83","9.92","9.95","9.80","22.13M","-0.20%"
"May 23, 2019","9.85","9.85","9.85","9.67","43.15M","-1.20%"
"May 22, 2019","9.97","10.17","10.21","9.93","51.41M","-2.64%"
"May 21, 2019","10.24","10.31","10.31","10.15","30.10M","-0.39%"
"May 20, 2019","10.28","10.30","10.30","10.20","29.54M","-0.10%"
"May 17, 2019","10.29","10.32","10.44","10.24","34.57M","-1.06%"
"May 16, 2019","10.40","10.30","10.44","10.30","32.70M","0.39%"
"May 15, 2019","10.36","10.21","10.40","10.04","44.05M","1.17%"
"May 14, 2019","10.24","10.15","10.29","10.13","31.30M","1.59%"
"May 13, 2019","10.08","10.17","10.26","10.04","51.10M","-2.89%"
"May 10, 2019","10.38","10.32","10.41","10.20","37.63M","1.76%"
"May 09, 2019","10.20","10.26","10.30","10.07","43.62M","-1.35%"
"May 08, 2019","10.34","10.38","10.45","10.31","33.47M","-0.39%"
"May 07, 2019","10.38","10.33","10.41","10.30","41.15M","0.10%"
"May 06, 2019","10.37","10.12","10.42","10.12","28.64M","-0.38%"
"May 03, 2019","10.41","10.37","10.45","10.30","36.29M","0.68%"
"May 02, 2019","10.34","10.30","10.35","10.20","34.51M","0.39%"
"May 01, 2019","10.30","10.48","10.50","10.29","41.81M","-1.44%"
"Apr 30, 2019","10.45","10.29","10.50","10.27","46.08M","1.26%"
"Apr 29, 2019","10.32","10.36","10.39","10.07","62.50M","-0.86%"
"Apr 26, 2019","10.41","10.03","10.45","9.95","156.14M","10.74%"
"Apr 25, 2019","9.40","9.52","9.53","9.34","52.60M","-1.78%"
"Apr 24, 2019","9.57","9.45","9.61","9.40","39.80M","0.74%"
"Apr 23, 2019","9.50","9.36","9.51","9.30","39.49M","0.00%"
"Apr 22, 2019","9.50","9.58","9.58","9.46","38.72M","-0.52%"
"Apr 18, 2019","9.55","9.52","9.62","9.48","29.84M","0.53%"
"Apr 17, 2019","9.50","9.40","9.58","9.39","30.69M","1.50%"
"Apr 16, 2019","9.36","9.32","9.40","9.24","40.95M","0.32%"
"Apr 15, 2019","9.33","9.48","9.50","9.26","41.21M","-1.27%"
"Apr 12, 2019","9.45","9.47","9.60","9.44","38.65M","0.64%"
"Apr 11, 2019","9.39","9.35","9.41","9.33","26.49M","0.64%"
"Apr 10, 2019","9.33","9.23","9.35","9.20","28.47M","1.30%"
"Apr 09, 2019","9.21","9.27","9.36","9.17","29.88M","-0.97%"
"Apr 08, 2019","9.30","9.18","9.32","9.17","26.22M","0.54%"
"Apr 05, 2019","9.25","9.17","9.27","9.08","37.85M","0.11%"
"Apr 04, 2019","9.24","9.21","9.30","9.18","39.48M","1.20%"
"Apr 03, 2019","9.13","9.07","9.27","9.06","56.66M","1.33%"
"Apr 02, 2019","9.01","8.95","9.03","8.91","30.70M","0.33%"
"Apr 01, 2019","8.98","8.86","9.00","8.86","45.65M","2.28%"
"Mar 29, 2019","8.78","8.80","8.89","8.71","33.96M","0.11%"
"Mar 28, 2019","8.77","8.65","8.83","8.64","38.91M","1.74%"
"Mar 27, 2019","8.62","8.75","8.86","8.62","39.90M","-1.60%"
"Mar 26, 2019","8.76","8.54","8.76","8.54","47.85M","2.94%"
"Mar 25, 2019","8.51","8.56","8.65","8.47","45.85M","-0.35%"
"Mar 22, 2019","8.54","8.63","8.67","8.52","41.96M","-1.73%"
"Mar 21, 2019","8.69","8.50","8.69","8.49","46.84M","2.12%"
"Mar 20, 2019","8.51","8.67","8.67","8.48","54.54M","-2.18%"
"Mar 19, 2019","8.70","8.61","8.87","8.61","57.29M","1.52%"
"Mar 18, 2019","8.57","8.45","8.57","8.42","37.20M","1.66%"
"Mar 15, 2019","8.43","8.42","8.47","8.37","66.56M","0.24%"
"Mar 14, 2019","8.41","8.52","8.55","8.40","36.31M","-1.41%"
"Mar 13, 2019","8.53","8.59","8.65","8.50","49.02M","-0.47%"
"Mar 12, 2019","8.57","8.65","8.70","8.55","37.81M","-0.46%"
"Mar 11, 2019","8.61","8.46","8.63","8.45","36.88M","2.26%"
"Mar 08, 2019","8.42","8.40","8.47","8.34","43.77M","-0.71%"
"Mar 07, 2019","8.48","8.56","8.57","8.35","54.29M","-1.17%"
"Mar 06, 2019","8.58","8.75","8.78","8.56","50.38M","-2.17%"
"Mar 05, 2019","8.77","8.80","8.81","8.70","40.85M","-0.45%"
"Mar 04, 2019","8.81","8.83","8.97","8.76","46.20M","0.23%"
"Mar 01, 2019","8.79","8.85","8.89","8.71","37.70M","0.23%"
"Feb 28, 2019","8.77","8.77","8.79","8.60","43.96M","-0.11%"
"Feb 27, 2019","8.78","8.83","8.91","8.78","34.09M","-1.13%"
"Feb 26, 2019","8.88","8.75","8.94","8.72","38.35M","1.37%"
"Feb 25, 2019","8.76","8.77","8.85","8.75","56.62M","0.57%"
"Feb 22, 2019","8.71","8.73","8.75","8.56","40.95M","0.00%"
"Feb 21, 2019","8.71","8.94","8.96","8.70","44.73M","-2.57%"
"Feb 20, 2019","8.94","8.83","8.98","8.82","55.32M","1.25%"
"Feb 19, 2019","8.83","8.53","8.85","8.53","37.93M","3.40%"
"Feb 15, 2019","8.54","8.49","8.56","8.41","58.08M","1.43%"
"Feb 14, 2019","8.42","8.38","8.47","8.32","23.57M","0.12%"
"Feb 13, 2019","8.41","8.45","8.66","8.39","27.18M","-0.59%"
"Feb 12, 2019","8.46","8.38","8.47","8.38","26.24M","1.56%"
"Feb 11, 2019","8.33","8.41","8.44","8.29","27.40M","-0.72%"
"Feb 08, 2019","8.39","8.29","8.41","8.16","38.65M","0.96%"
"Feb 07, 2019","8.31","8.62","8.62","8.29","55.16M","-4.70%"
"Feb 06, 2019","8.72","8.79","8.90","8.68","32.64M","-0.34%"
"Feb 05, 2019","8.75","8.68","8.76","8.65","26.17M","0.57%"
"Feb 04, 2019","8.70","8.70","8.70","8.59","28.86M","-0.23%"
"Feb 01, 2019","8.72","8.77","8.81","8.62","34.12M","-0.91%"
"Jan 31, 2019","8.80","8.62","8.82","8.60","39.39M","1.03%"
"Jan 30, 2019","8.71","8.66","8.72","8.52","29.91M","-0.57%"
"Jan 29, 2019","8.76","8.71","8.79","8.62","30.49M","1.15%"
"Jan 28, 2019","8.66","8.80","8.80","8.58","42.12M","-2.26%"
"Jan 25, 2019","8.86","8.74","8.96","8.73","53.13M","3.02%"
"Jan 24, 2019","8.60","8.32","8.68","8.22","79.52M","3.12%"
"Jan 23, 2019","8.34","8.54","8.54","8.28","45.20M","-1.88%"
"Jan 22, 2019","8.50","8.54","8.61","8.46","47.18M","-0.93%"
"Jan 18, 2019","8.58","8.39","8.60","8.33","51.13M","2.63%"
"Jan 17, 2019","8.36","8.27","8.44","8.21","56.72M","0.84%"
"Jan 16, 2019","8.29","8.68","8.77","8.26","73.87M","-6.22%"
"Jan 15, 2019","8.84","9.02","9.03","8.75","65.31M","-1.67%"
"Jan 14, 2019","8.99","8.80","9.06","8.76","44.83M","1.93%"
"Jan 11, 2019","8.82","8.77","8.93","8.70","41.56M","1.73%"
"Jan 10, 2019","8.67","8.71","8.77","8.45","39.49M","-0.57%"
"Jan 09, 2019","8.72","8.45","8.77","8.36","48.40M","4.18%"
"Jan 08, 2019","8.37","8.42","8.54","8.35","45.64M","0.97%"
"Jan 07, 2019","8.29","8.11","8.37","8.03","40.73M","2.60%"
"Jan 04, 2019","8.08","7.91","8.12","7.85","43.04M","3.86%"
"Jan 03, 2019","7.78","7.97","7.99","7.78","39.17M","-1.52%"
"Jan 02, 2019","7.90","7.53","8.02","7.48","47.49M","3.27%"
"Dec 31, 2018","7.65","7.85","7.86","7.50","57.82M","-2.05%"
"Dec 28, 2018","7.81","7.83","8.04","7.76","47.33M","-0.51%"
"Dec 27, 2018","7.85","7.82","7.85","7.53","49.81M","0.00%"
"Dec 26, 2018","7.85","7.73","7.86","7.41","58.81M","2.88%"
"Dec 24, 2018","7.63","8.01","8.01","7.61","38.71M","-5.22%"
"Dec 21, 2018","8.05","8.22","8.40","8.04","57.54M","-2.54%"
"Dec 20, 2018","8.26","8.33","8.42","8.18","58.93M","-0.72%"
"Dec 19, 2018","8.32","8.46","8.65","8.27","75.27M","-1.77%"
"Dec 18, 2018","8.47","8.55","8.68","8.41","38.26M","-0.35%"
"Dec 17, 2018","8.50","8.48","8.72","8.41","44.47M","-0.23%"
"Dec 14, 2018","8.52","8.52","8.68","8.46","35.61M","0.24%"
"Dec 13, 2018","8.50","8.67","8.70","8.46","34.20M","-1.62%"
"Dec 12, 2018","8.64","8.64","8.73","8.59","40.60M","1.17%"
"Dec 11, 2018","8.54","8.72","8.80","8.50","42.29M","0.23%"
"Dec 10, 2018","8.52","8.83","8.85","8.38","56.50M","-3.40%"
