"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","150.27","142.60","157.00","140.00","37.49K","-0.09%"
"Mar 03, 2020","150.41","134.39","156.81","128.29","78.23K","9.61%"
"Mar 02, 2020","137.22","126.63","152.17","126.63","64.50K","-0.80%"
"Feb 28, 2020","138.32","183.59","183.59","138.32","113.08K","-11.89%"
"Feb 27, 2020","156.98","155.11","168.63","139.57","143.68K","19.83%"
"Feb 26, 2020","131.00","114.00","132.17","110.56","281.63K","16.02%"
"Feb 25, 2020","112.91","94.67","117.50","94.14","117.42K","16.37%"
"Feb 24, 2020","97.03","94.79","100.14","94.52","46.03K","15.14%"
"Feb 21, 2020","84.27","81.49","87.00","81.25","35.26K","7.80%"
"Feb 20, 2020","78.17","76.50","78.42","73.67","36.89K","-0.47%"
"Feb 19, 2020","78.54","82.81","83.47","76.86","33.19K","-7.33%"
"Feb 18, 2020","84.75","87.00","88.30","84.61","26.25K","-0.27%"
"Feb 17, 2020","84.98","84.98","84.98","84.98","-","0.00%"
"Feb 14, 2020","84.98","78.66","85.53","78.26","31.66K","4.99%"
"Feb 13, 2020","80.94","79.99","81.97","75.89","36.54K","2.33%"
"Feb 12, 2020","79.10","78.25","80.98","73.36","42.16K","-4.28%"
"Feb 11, 2020","82.64","79.05","82.76","77.96","50.56K","-1.17%"
"Feb 10, 2020","83.62","81.37","84.74","79.50","86.94K","8.71%"
"Feb 07, 2020","76.92","74.80","77.80","74.78","33.40K","5.94%"
"Feb 06, 2020","72.61","68.90","73.50","68.50","44.49K","6.44%"
"Feb 05, 2020","68.22","76.84","76.84","67.10","101.49K","-16.71%"
"Feb 04, 2020","81.91","77.49","82.10","76.35","50.49K","-0.51%"
"Feb 03, 2020","82.33","80.75","82.66","77.50","58.87K","3.86%"
"Jan 31, 2020","79.27","76.56","82.15","76.56","92.83K","6.42%"
"Jan 30, 2020","74.49","77.81","79.10","74.17","107.43K","0.73%"
"Jan 29, 2020","73.95","68.30","74.01","66.67","151.53K","6.36%"
"Jan 28, 2020","69.53","69.30","72.63","68.03","175.47K","-3.27%"
"Jan 27, 2020","71.88","70.00","72.42","68.77","339.25K","9.79%"
"Jan 24, 2020","65.47","61.83","68.02","61.83","215.79K","8.30%"
"Jan 23, 2020","60.45","60.00","63.26","59.28","157.94K","3.53%"
"Jan 22, 2020","58.39","55.37","58.73","55.37","140.31K","7.63%"
"Jan 21, 2020","54.25","51.07","54.46","49.38","105.55K","12.39%"
"Jan 17, 2020","48.27","44.07","48.27","44.07","87.41K","6.51%"
"Jan 16, 2020","45.32","44.20","45.50","42.34","72.39K","0.62%"
"Jan 15, 2020","45.04","45.20","46.12","44.49","54.34K","2.43%"
"Jan 14, 2020","43.97","44.71","46.40","43.00","78.82K","-3.95%"
"Jan 13, 2020","45.78","44.72","47.39","44.72","114.30K","3.93%"
"Jan 10, 2020","44.05","43.19","45.25","43.19","64.93K","2.97%"
"Jan 09, 2020","42.78","41.92","45.60","41.92","126.32K","3.01%"
"Jan 08, 2020","41.53","37.60","42.46","37.50","150.68K","11.73%"
"Jan 07, 2020","37.17","38.48","39.33","37.17","108.67K","-4.59%"
"Jan 06, 2020","38.96","39.09","40.23","38.50","77.17K","-2.94%"
"Jan 03, 2020","40.14","40.00","41.50","38.49","94.49K","-6.48%"
"Jan 02, 2020","42.92","40.51","43.66","40.03","60.01K","3.62%"
"Dec 31, 2019","41.42","44.10","45.06","40.48","85.75K","-4.45%"
"Dec 30, 2019","43.35","43.03","43.78","41.91","118.53K","0.07%"
"Dec 27, 2019","43.32","40.41","43.62","40.41","122.71K","6.67%"
"Dec 26, 2019","40.61","40.52","40.93","39.14","66.95K","-1.69%"
"Dec 24, 2019","41.31","40.84","41.57","40.10","41.28K","0.66%"
"Dec 23, 2019","41.04","45.46","45.52","41.00","93.38K","-10.04%"
"Dec 20, 2019","45.62","43.25","46.50","43.25","114.86K","3.80%"
"Dec 19, 2019","43.95","46.00","46.46","43.34","85.23K","-4.52%"
"Dec 18, 2019","46.03","49.47","49.65","44.91","85.92K","-4.60%"
"Dec 17, 2019","48.25","52.08","52.35","47.80","101.00K","-7.27%"
"Dec 16, 2019","52.03","54.87","54.87","50.52","86.45K","-9.39%"
"Dec 13, 2019","57.42","53.20","57.85","52.11","87.35K","7.13%"
"Dec 12, 2019","53.60","60.50","60.88","53.11","119.67K","-11.83%"
"Dec 11, 2019","60.79","60.00","61.60","59.00","30.28K","1.49%"
"Dec 10, 2019","59.90","61.47","61.88","58.50","67.75K","-2.90%"
"Dec 09, 2019","61.69","68.80","68.80","60.37","99.38K","-7.25%"
"Dec 06, 2019","66.51","73.51","74.28","65.46","90.74K","-10.13%"
"Dec 05, 2019","74.01","70.30","75.00","68.75","67.78K","3.18%"
"Dec 04, 2019","71.73","78.14","78.14","70.13","71.09K","-11.29%"
"Dec 03, 2019","80.86","80.00","82.77","76.99","43.95K","3.83%"
"Dec 02, 2019","77.88","73.59","78.22","72.37","31.26K","2.51%"
"Nov 29, 2019","75.97","73.57","76.19","72.76","46.29K","7.61%"
"Nov 27, 2019","70.60","73.50","74.35","70.56","36.47K","-4.23%"
"Nov 26, 2019","73.72","67.63","74.03","67.63","67.73K","9.67%"
"Nov 25, 2019","67.22","72.41","72.80","67.22","75.73K","-3.48%"
"Nov 22, 2019","69.64","71.48","73.90","67.77","96.86K","-3.22%"
"Nov 21, 2019","71.96","73.81","76.92","71.92","26.33K","-4.37%"
"Nov 20, 2019","75.25","76.23","80.41","70.08","151.31K","-2.18%"
"Nov 19, 2019","76.93","71.90","77.56","71.90","49.39K","8.52%"
"Nov 18, 2019","70.89","63.59","71.25","63.59","90.80K","13.28%"
