Date,Price,Open,High,Low,Vol.,Change %
04-Mar-20,1381.60 ,1358.08 ,1382.32 ,1339.48 ,2.38M,3.28%
03-Mar-20,1337.72 ,1396.85 ,1408.19 ,1329.49 ,2.83M,-3.51%
02-Mar-20,1386.32 ,1351.39 ,1387.46 ,1325.68 ,2.77M,3.51%
28-Feb-20,1339.25 ,1270.47 ,1339.25 ,1268.21 ,4.01M,1.85%
27-Feb-20,1314.95 ,1359.14 ,1369.40 ,1314.24 ,3.11M,-5.43%
26-Feb-20,1390.47 ,1394.98 ,1413.67 ,1376.55 ,2.49M,0.30%
25-Feb-20,1386.32 ,1431.00 ,1436.85 ,1380.42 ,2.58M,-2.36%
24-Feb-20,1419.86 ,1423.05 ,1436.38 ,1406.79 ,2.48M,-4.29%
21-Feb-20,1483.46 ,1504.58 ,1510.94 ,1478.49 ,2.13M,-2.21%
20-Feb-20,1516.99 ,1519.01 ,1527.07 ,1504.26 ,1.30M,-0.52%
19-Feb-20,1524.87 ,1527.20 ,1530.74 ,1520.98 ,1.14M,0.36%
18-Feb-20,1519.44 ,1514.34 ,1530.56 ,1511.01 ,1.28M,0.05%
14-Feb-20,1518.73 ,1514.53 ,1520.05 ,1505.55 ,1.16M,0.35%
13-Feb-20,1513.39 ,1510.00 ,1525.95 ,1504.00 ,1.15M,-0.35%
12-Feb-20,1518.63 ,1515.86 ,1520.30 ,1508.67 ,1.55M,0.57%
11-Feb-20,1510.06 ,1513.27 ,1529.88 ,1505.45 ,1.74M,0.09%
10-Feb-20,1508.66 ,1477.23 ,1508.88 ,1475.20 ,1.92M,2.00%
07-Feb-20,1479.11 ,1467.38 ,1485.24 ,1465.41 ,1.42M,0.21%
06-Feb-20,1475.97 ,1451.98 ,1481.56 ,1450.48 ,1.89M,2.07%
05-Feb-20,1446.05 ,1463.61 ,1464.58 ,1429.67 ,1.82M,0.04%
04-Feb-20,1445.41 ,1454.49 ,1467.34 ,1422.03 ,4.79M,-2.51%
03-Feb-20,1482.60 ,1461.65 ,1486.30 ,1456.61 ,3.61M,3.48%
31-Jan-20,1432.78 ,1467.86 ,1469.67 ,1427.06 ,2.19M,-1.48%
30-Jan-20,1454.25 ,1438.10 ,1455.25 ,1435.00 ,1.36M,-0.17%
29-Jan-20,1456.70 ,1458.46 ,1464.14 ,1445.38 ,1.08M,0.43%
28-Jan-20,1450.50 ,1441.74 ,1454.80 ,1430.36 ,1.49M,1.31%
27-Jan-20,1431.73 ,1431.54 ,1436.58 ,1419.50 ,1.71M,-2.35%
24-Jan-20,1466.17 ,1492.82 ,1494.20 ,1463.18 ,1.49M,-1.25%
23-Jan-20,1484.69 ,1487.55 ,1493.50 ,1480.32 ,1.33M,0.04%
22-Jan-20,1484.17 ,1489.73 ,1500.58 ,1482.66 ,1.42M,0.13%
21-Jan-20,1482.25 ,1479.00 ,1489.88 ,1470.21 ,2.45M,0.18%
17-Jan-20,1479.52 ,1462.54 ,1480.55 ,1456.55 ,2.62M,2.02%
