"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","134.22","131.63","134.23","129.05","5.00M","4.13%"
"Mar 03, 2020","128.90","134.67","135.97","127.81","7.90M","-4.02%"
"Mar 02, 2020","134.30","130.56","134.36","128.00","8.53M","3.19%"
"Feb 28, 2020","130.15","129.50","130.99","126.38","13.01M","-2.22%"
"Feb 27, 2020","133.11","137.24","138.69","133.01","8.42M","-4.75%"
"Feb 26, 2020","139.75","142.90","144.06","139.60","5.41M","-1.38%"
"Feb 25, 2020","141.71","146.51","147.07","141.26","6.21M","-3.22%"
"Feb 24, 2020","146.43","145.51","148.05","145.38","5.45M","-2.28%"
"Feb 21, 2020","149.84","151.04","151.04","148.84","3.54M","-0.91%"
"Feb 20, 2020","151.22","150.81","151.62","149.51","2.88M","0.24%"
"Feb 19, 2020","150.86","151.54","151.89","150.31","2.73M","-0.16%"
"Feb 18, 2020","151.10","149.79","151.38","149.64","3.34M","0.27%"
"Feb 14, 2020","150.70","154.42","154.56","149.77","6.10M","-2.34%"
"Feb 13, 2020","154.31","154.37","154.83","153.41","3.82M","-0.64%"
"Feb 12, 2020","155.31","153.75","155.60","153.52","4.44M","1.19%"
"Feb 11, 2020","153.48","155.12","155.22","152.73","3.84M","-0.62%"
"Feb 10, 2020","154.43","152.97","154.44","151.58","5.24M","0.66%"
"Feb 07, 2020","153.41","154.55","155.54","152.92","6.42M","-2.14%"
"Feb 06, 2020","156.76","156.82","158.75","155.42","8.40M","0.28%"
"Feb 05, 2020","156.33","150.21","157.44","150.15","14.39M","4.84%"
