"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","119.85","118.33","120.16","114.72","25.80M","2.47%"
"Mar 03, 2020","116.96","120.79","122.72","116.25","32.55M","-3.75%"
"Mar 02, 2020","121.52","116.45","121.54","114.47","27.36M","4.66%"
"Feb 28, 2020","116.11","117.69","118.38","112.69","45.94M","-4.33%"
"Feb 27, 2020","121.37","122.91","125.62","121.30","23.01M","-4.16%"
"Feb 26, 2020","126.64","126.93","128.95","126.34","24.84M","0.30%"
"Feb 25, 2020","126.26","131.00","132.23","125.59","20.80M","-4.46%"
"Feb 24, 2020","132.16","131.44","133.20","130.80","13.62M","-2.69%"
"Feb 21, 2020","135.81","136.55","136.92","134.92","9.77M","-1.22%"
"Feb 20, 2020","137.49","137.17","138.36","136.53","7.42M","0.00%"
"Feb 19, 2020","137.49","136.91","138.39","136.34","7.07M","1.36%"
"Feb 18, 2020","135.64","137.34","137.71","135.05","9.00M","-1.32%"
"Feb 14, 2020","137.46","137.84","138.19","136.94","6.63M","-0.30%"
"Feb 13, 2020","137.88","137.75","138.34","136.40","7.45M","-0.09%"
"Feb 12, 2020","138.00","138.60","139.28","137.80","7.96M","0.00%"
"Feb 11, 2020","138.00","138.26","138.82","137.78","6.58M","0.19%"
"Feb 10, 2020","137.74","136.95","137.85","136.75","5.96M","0.42%"
"Feb 07, 2020","137.17","136.73","137.67","136.30","6.38M","-0.32%"
"Feb 06, 2020","137.61","138.24","138.29","137.11","8.99M","0.01%"
"Feb 05, 2020","137.59","136.57","137.73","136.01","10.15M","1.70%"
"Feb 04, 2020","135.29","135.55","136.60","135.08","9.16M","1.44%"
"Feb 03, 2020","133.37","132.66","134.24","132.66","10.02M","0.76%"
"Jan 31, 2020","132.36","134.49","134.83","131.47","12.79M","-2.60%"
"Jan 30, 2020","135.89","132.69","136.13","132.69","9.05M","1.24%"
"Jan 29, 2020","134.23","134.81","135.54","133.69","9.33M","-0.15%"
"Jan 28, 2020","134.43","132.84","134.97","132.48","13.06M","1.82%"
"Jan 27, 2020","132.03","130.27","132.94","129.71","12.86M","-0.84%"
"Jan 24, 2020","133.15","136.37","136.43","132.32","15.17M","-2.48%"
"Jan 23, 2020","136.54","135.71","136.74","134.72","9.35M","-0.10%"
"Jan 22, 2020","136.68","137.24","137.40","136.38","7.55M","-0.12%"
"Jan 21, 2020","136.84","137.19","138.07","136.69","8.47M","-0.98%"
"Jan 17, 2020","138.20","137.54","138.28","137.32","14.70M","0.69%"
"Jan 16, 2020","137.25","137.45","137.90","136.84","10.78M","0.39%"
"Jan 15, 2020","136.72","137.85","138.60","136.15","16.29M","-1.50%"
"Jan 14, 2020","138.80","137.94","140.76","137.69","24.94M","1.17%"
"Jan 13, 2020","137.20","136.19","137.20","135.75","12.38M","0.83%"
"Jan 10, 2020","136.07","137.21","137.25","135.81","10.19M","-1.00%"
"Jan 09, 2020","137.44","138.05","138.23","137.04","9.47M","0.37%"
"Jan 08, 2020","136.94","135.70","137.58","135.60","9.70M","0.78%"
"Jan 07, 2020","135.88","137.28","137.86","135.82","10.58M","-1.70%"
"Jan 06, 2020","138.23","136.56","138.27","136.50","10.27M","-0.08%"
"Jan 03, 2020","138.34","137.50","139.23","137.08","10.39M","-1.95%"
"Jan 02, 2020","141.09","139.79","141.10","139.26","10.81M","1.21%"
"Dec 31, 2019","139.40","138.51","139.48","138.29","7.20M","0.56%"
"Dec 30, 2019","138.63","139.90","140.08","138.47","6.96M","-0.37%"
"Dec 27, 2019","139.14","139.30","139.77","138.67","7.87M","0.07%"
"Dec 26, 2019","139.04","137.89","139.10","137.78","6.77M","1.06%"
"Dec 24, 2019","137.58","137.33","137.63","137.06","3.32M","0.28%"
"Dec 23, 2019","137.20","137.60","137.91","136.88","9.74M","-0.03%"
"Dec 20, 2019","137.24","138.02","138.88","136.90","29.99M","-0.08%"
"Dec 19, 2019","137.35","137.76","138.22","137.10","9.35M","-0.50%"
"Dec 18, 2019","138.04","138.15","139.02","137.72","10.38M","-0.10%"
"Dec 17, 2019","138.18","137.73","138.67","137.23","11.55M","0.61%"
"Dec 16, 2019","137.34","138.38","138.84","137.32","11.37M","0.39%"
"Dec 13, 2019","136.81","137.95","138.83","136.22","10.59M","-0.88%"
"Dec 12, 2019","138.02","134.49","138.47","134.21","13.73M","2.86%"
"Dec 11, 2019","134.18","134.29","135.02","134.01","9.01M","-0.24%"
