"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","302.36","299.16","302.63","292.81","6.46M","3.55%"
"Mar 03, 2020","292.00","314.59","314.59","291.00","8.05M","-4.81%"
"Mar 02, 2020","306.74","299.63","306.84","289.59","9.69M","5.68%"
"Feb 28, 2020","290.25","274.89","290.25","273.56","12.86M","1.55%"
"Feb 27, 2020","285.82","285.03","297.45","280.94","13.81M","-4.10%"
"Feb 26, 2020","298.04","302.00","307.89","297.89","9.41M","-1.60%"
"Feb 25, 2020","302.89","321.34","323.23","300.76","12.72M","-6.71%"
"Feb 24, 2020","324.67","317.51","329.34","313.84","7.82M","-4.42%"
"Feb 21, 2020","339.70","342.55","343.89","335.61","5.00M","-1.38%"
"Feb 20, 2020","344.45","345.74","347.25","338.17","4.32M","-0.03%"
"Feb 19, 2020","344.56","343.99","347.24","342.63","3.04M","0.97%"
"Feb 18, 2020","341.24","341.62","343.10","340.39","3.60M","0.09%"
"Feb 14, 2020","340.95","337.46","341.04","337.03","2.72M","1.52%"
"Feb 13, 2020","335.84","332.31","337.83","332.13","3.00M","0.50%"
"Feb 12, 2020","334.16","330.82","334.45","329.22","2.45M","0.98%"
"Feb 11, 2020","330.92","335.00","335.52","329.66","3.45M","0.19%"
"Feb 10, 2020","330.28","325.62","330.28","325.51","3.85M","1.00%"
"Feb 07, 2020","327.00","328.00","329.85","325.87","2.58M","-0.70%"
"Feb 06, 2020","329.30","329.32","331.23","327.68","3.42M","0.30%"
"Feb 05, 2020","328.32","335.00","335.00","324.17","3.87M","-0.24%"
"Feb 04, 2020","329.12","328.24","331.74","326.29","4.16M","1.42%"
"Feb 03, 2020","324.52","318.80","325.48","318.43","4.24M","2.72%"
"Jan 31, 2020","315.94","323.14","324.46","314.50","5.59M","-2.63%"
"Jan 30, 2020","324.46","319.00","324.70","318.01","3.51M","1.29%"
"Jan 29, 2020","320.32","323.00","324.44","316.77","4.39M","0.02%"
"Jan 28, 2020","320.27","315.80","321.52","315.46","3.49M","1.43%"
"Jan 27, 2020","315.77","315.10","319.36","312.50","4.37M","-2.44%"
"Jan 24, 2020","323.67","326.57","327.09","321.66","3.63M","-0.40%"
"Jan 23, 2020","324.98","325.00","325.25","322.32","4.19M","0.21%"
"Jan 22, 2020","324.31","324.95","326.79","324.12","3.52M","0.74%"
"Jan 21, 2020","321.93","322.41","325.66","321.49","6.00M","-0.53%"
"Jan 17, 2020","323.66","321.43","324.03","319.24","4.82M","1.05%"
"Jan 16, 2020","320.30","317.50","320.33","314.99","3.32M","1.93%"
"Jan 15, 2020","314.25","312.19","315.73","311.04","4.66M","1.16%"
"Jan 14, 2020","310.64","316.18","316.42","309.86","4.95M","-1.45%"
"Jan 13, 2020","315.21","313.26","315.64","312.90","3.24M","1.30%"
"Jan 10, 2020","311.17","311.58","311.95","308.74","2.95M","0.67%"
"Jan 09, 2020","309.10","308.28","310.94","308.02","3.29M","1.31%"
"Jan 08, 2020","305.10","300.78","306.95","300.51","3.22M","1.63%"
"Jan 07, 2020","300.21","301.74","303.38","299.88","3.20M","-0.34%"
"Jan 06, 2020","301.23","297.36","301.33","296.02","3.31M","0.27%"
"Jan 03, 2020","300.43","299.46","302.42","298.60","2.50M","-0.98%"
"Jan 02, 2020","303.39","300.46","303.53","299.50","3.27M","1.61%"
"Dec 31, 2019","298.59","296.10","298.93","295.77","2.48M","0.29%"
"Dec 30, 2019","297.72","300.83","301.05","295.28","2.72M","-1.00%"
"Dec 27, 2019","300.74","300.00","301.53","298.18","2.04M","0.51%"
"Dec 26, 2019","299.20","298.11","299.37","297.80","1.37M","0.58%"
"Dec 24, 2019","297.48","297.96","298.31","296.60","641.09K","0.07%"
"Dec 23, 2019","297.27","298.74","299.83","297.10","3.59M","-0.44%"
"Dec 20, 2019","298.57","300.55","300.55","296.81","5.10M","0.35%"
"Dec 19, 2019","297.53","294.49","298.18","294.11","2.54M","0.95%"
"Dec 18, 2019","294.74","295.20","297.30","294.74","2.90M","-0.43%"
"Dec 17, 2019","296.00","298.50","298.50","293.77","3.35M","-0.32%"
"Dec 16, 2019","296.96","298.11","299.48","296.86","4.21M","0.29%"
"Dec 13, 2019","296.09","290.79","296.53","289.80","3.57M","1.33%"
"Dec 12, 2019","292.21","289.90","292.75","288.27","2.75M","0.74%"
"Dec 11, 2019","290.05","289.76","290.32","288.11","2.30M","0.50%"
"Dec 10, 2019","288.61","289.00","290.17","287.71","2.52M","-0.16%"
"Dec 09, 2019","289.06","289.19","290.96","288.26","1.92M","-0.46%"
"Dec 06, 2019","290.40","292.31","292.50","289.68","2.43M","0.19%"
"Dec 05, 2019","289.85","287.95","290.95","286.40","2.58M","1.05%"
"Dec 04, 2019","286.84","288.50","289.62","286.12","2.74M","-0.09%"
"Dec 03, 2019","287.09","282.20","287.60","281.50","3.06M","0.22%"
"Dec 02, 2019","286.47","290.59","290.75","283.89","3.07M","-1.97%"
"Nov 29, 2019","292.23","290.23","293.00","290.23","1.75M","0.18%"
"Nov 27, 2019","291.70","289.03","292.00","288.91","2.16M","0.80%"
"Nov 26, 2019","289.38","288.50","290.65","287.82","5.71M","0.62%"
"Nov 25, 2019","287.61","284.00","288.99","283.70","3.76M","1.78%"
"Nov 22, 2019","282.57","284.83","285.36","281.21","2.97M","-0.66%"
"Nov 21, 2019","284.45","284.60","286.52","283.59","2.78M","-0.33%"
"Nov 20, 2019","285.38","285.00","287.73","282.86","2.90M","0.02%"
"Nov 19, 2019","285.31","281.52","286.58","280.94","3.01M","1.58%"
"Nov 18, 2019","280.86","280.00","281.77","278.40","2.72M","0.03%"
"Nov 15, 2019","280.78","280.64","280.90","278.13","2.54M","0.41%"
"Nov 14, 2019","279.63","277.45","279.63","276.70","2.37M","0.56%"
"Nov 13, 2019","278.07","276.51","280.46","275.00","3.33M","0.34%"
"Nov 12, 2019","277.14","277.60","279.50","275.77","2.22M","0.05%"
"Nov 11, 2019","277.00","273.08","277.13","273.06","2.13M","0.77%"
"Nov 08, 2019","274.89","271.70","274.95","271.70","2.24M","0.77%"
"Nov 07, 2019","272.79","270.02","275.08","269.86","4.28M","1.09%"
"Nov 06, 2019","269.86","270.30","271.67","268.88","3.74M","0.32%"
"Nov 05, 2019","269.00","276.50","276.95","268.42","4.72M","-2.65%"
"Nov 04, 2019","276.33","280.64","282.24","275.81","3.73M","-0.97%"
"Nov 01, 2019","279.05","279.00","280.39","276.12","2.88M","0.81%"
"Oct 31, 2019","276.81","276.38","279.09","275.06","5.36M","-0.12%"
"Oct 30, 2019","277.15","274.64","277.47","273.00","3.49M","1.04%"
"Oct 29, 2019","274.29","277.60","278.29","273.08","4.71M","-0.59%"
"Oct 28, 2019","275.93","273.26","275.93","271.37","3.80M","2.12%"
"Oct 25, 2019","270.19","266.26","272.18","265.56","2.76M","0.54%"
"Oct 24, 2019","268.75","263.56","269.33","263.56","3.82M","3.03%"
"Oct 23, 2019","260.85","262.68","264.19","258.51","5.39M","-0.16%"
"Oct 22, 2019","261.26","274.90","275.35","261.01","5.65M","-4.75%"
"Oct 21, 2019","274.30","271.93","274.36","269.50","3.10M","1.36%"
"Oct 18, 2019","270.63","275.24","276.68","269.90","4.05M","-2.13%"
"Oct 17, 2019","276.51","279.35","280.44","275.93","2.44M","-0.63%"
"Oct 16, 2019","278.27","277.10","279.03","274.80","2.73M","-0.10%"
"Oct 15, 2019","278.56","277.21","279.96","275.96","3.01M","0.79%"
"Oct 14, 2019","276.38","277.56","278.56","275.56","2.05M","0.17%"
"Oct 11, 2019","275.91","276.20","280.00","275.12","3.51M","0.76%"
"Oct 10, 2019","273.83","271.56","274.71","271.26","2.23M","0.58%"
"Oct 09, 2019","272.24","269.96","273.14","269.50","2.18M","1.94%"
"Oct 08, 2019","267.07","269.82","271.08","266.59","2.83M","-1.88%"
"Oct 07, 2019","272.19","271.31","273.50","270.41","2.87M","-0.68%"
"Oct 04, 2019","274.06","269.51","274.48","269.16","2.69M","2.15%"
"Oct 03, 2019","268.29","264.25","268.54","260.41","3.98M","1.44%"
"Oct 02, 2019","264.48","268.16","268.94","262.52","4.64M","-2.38%"
"Oct 01, 2019","270.94","271.49","273.65","270.04","3.07M","-0.23%"
"Sep 30, 2019","271.57","270.99","272.07","269.32","3.26M","0.91%"
"Sep 27, 2019","269.13","275.39","275.63","267.69","3.24M","-1.74%"
"Sep 26, 2019","273.89","273.23","275.44","272.63","2.93M","0.42%"
"Sep 25, 2019","272.75","270.25","272.99","266.61","4.10M","0.60%"
"Sep 24, 2019","271.12","275.63","277.44","269.06","4.12M","-0.74%"
"Sep 23, 2019","273.15","270.30","273.74","270.00","3.11M","0.73%"
"Sep 20, 2019","271.17","277.79","278.59","270.91","5.58M","-1.72%"
"Sep 19, 2019","275.91","275.96","278.14","274.85","2.63M","0.29%"
"Sep 18, 2019","275.10","276.77","276.85","270.44","2.98M","-0.42%"
"Sep 17, 2019","276.25","274.55","278.63","273.95","2.95M","0.79%"
"Sep 16, 2019","274.08","273.47","275.76","272.71","2.76M","-0.81%"
"Sep 13, 2019","276.32","277.99","278.15","273.04","4.63M","-0.03%"
"Sep 12, 2019","276.40","273.39","278.77","273.19","5.50M","2.39%"
"Sep 11, 2019","269.95","274.92","276.00","269.20","6.34M","-0.87%"
"Sep 10, 2019","272.33","281.34","281.50","270.34","8.68M","-3.89%"
"Sep 09, 2019","283.36","293.49","293.69","280.10","4.80M","-2.75%"
"Sep 06, 2019","291.38","291.94","293.07","290.05","2.78M","-0.24%"
"Sep 05, 2019","292.08","290.29","293.46","289.60","3.81M","2.09%"
"Sep 04, 2019","286.10","282.77","286.20","282.15","2.63M","2.14%"
"Sep 03, 2019","280.11","279.99","282.84","278.50","2.35M","-0.45%"
"Aug 30, 2019","281.37","282.59","282.96","278.73","2.60M","-0.00%"
"Aug 29, 2019","281.38","281.00","281.98","278.88","2.30M","1.13%"
"Aug 28, 2019","278.24","275.23","278.65","273.37","2.31M","0.58%"
"Aug 27, 2019","276.64","276.74","279.09","274.91","2.17M","0.08%"
"Aug 26, 2019","276.43","274.88","276.43","272.98","2.19M","1.67%"
"Aug 23, 2019","271.89","280.00","282.09","270.21","4.42M","-3.16%"
"Aug 22, 2019","280.77","282.11","282.89","276.76","2.98M","-0.44%"
"Aug 21, 2019","282.01","279.64","282.10","279.29","2.49M","1.79%"
"Aug 20, 2019","277.04","278.40","279.56","275.85","2.58M","-0.37%"
"Aug 19, 2019","278.07","277.00","278.57","275.21","2.50M","1.35%"
"Aug 16, 2019","274.36","274.98","275.96","273.79","2.72M","0.91%"
"Aug 15, 2019","271.89","269.28","273.15","268.09","3.36M","1.77%"
"Aug 14, 2019","267.15","269.82","272.47","265.85","3.75M","-2.69%"
"Aug 13, 2019","274.53","269.83","275.37","268.00","3.93M","1.68%"
"Aug 12, 2019","270.00","272.85","274.98","268.89","3.32M","-1.80%"
"Aug 09, 2019","274.95","275.51","276.90","273.08","3.41M","-1.11%"
"Aug 08, 2019","278.04","272.00","278.08","271.60","4.14M","3.24%"
"Aug 07, 2019","269.31","263.40","270.00","260.25","4.48M","1.75%"
"Aug 06, 2019","264.68","261.80","265.15","260.18","4.92M","3.05%"
"Aug 05, 2019","256.84","260.00","262.65","253.90","6.86M","-4.68%"
"Aug 02, 2019","269.45","272.00","272.50","265.68","4.44M","-1.72%"
"Aug 01, 2019","274.16","273.93","279.31","271.64","4.99M","0.69%"
"Jul 31, 2019","272.27","278.67","278.98","265.69","5.51M","-2.12%"
"Jul 30, 2019","278.16","279.34","282.37","275.45","3.96M","-1.17%"
"Jul 29, 2019","281.44","283.12","283.33","280.43","3.68M","-0.22%"
"Jul 26, 2019","282.07","280.60","282.29","280.08","2.94M","0.97%"
"Jul 25, 2019","279.35","280.00","280.90","277.55","2.31M","-0.32%"
"Jul 24, 2019","280.25","278.17","280.30","276.38","2.81M","0.46%"
"Jul 23, 2019","278.97","280.00","280.42","276.90","2.28M","0.13%"
"Jul 22, 2019","278.61","276.91","279.36","276.07","2.09M","1.09%"
"Jul 19, 2019","275.60","279.43","279.48","275.42","3.05M","-0.43%"
"Jul 18, 2019","276.78","275.00","277.25","274.74","3.24M","0.54%"
"Jul 17, 2019","275.28","277.39","278.47","275.27","2.32M","-0.48%"
"Jul 16, 2019","276.62","279.00","280.63","275.31","2.98M","-0.98%"
"Jul 15, 2019","279.37","280.46","280.59","278.55","3.35M","-0.06%"
"Jul 12, 2019","279.54","279.24","279.74","276.26","2.30M","0.44%"
"Jul 11, 2019","278.32","277.60","278.65","276.08","2.58M","1.07%"
"Jul 10, 2019","275.38","274.17","277.10","274.15","2.32M","0.75%"
"Jul 09, 2019","273.34","269.82","273.65","269.50","2.48M","0.78%"
"Jul 08, 2019","271.23","270.10","272.07","269.46","2.29M","-0.33%"
"Jul 05, 2019","272.14","271.50","272.77","269.09","2.56M","-0.34%"
"Jul 03, 2019","273.08","271.00","273.08","270.78","1.90M","0.93%"
"Jul 02, 2019","270.57","266.88","270.60","266.43","2.65M","1.42%"
"Jul 01, 2019","266.77","269.99","269.99","264.87","2.65M","0.85%"
"Jun 28, 2019","264.53","263.09","264.84","261.33","4.40M","1.31%"
"Jun 27, 2019","261.10","262.44","263.58","260.40","2.19M","-0.08%"
"Jun 26, 2019","261.30","260.88","262.65","259.99","3.87M","0.60%"
"Jun 25, 2019","259.73","266.04","266.31","259.12","3.14M","-2.10%"
"Jun 24, 2019","265.30","265.85","267.10","265.13","2.54M","0.31%"
"Jun 21, 2019","264.47","265.82","268.15","264.42","4.29M","-0.87%"
"Jun 20, 2019","266.79","263.49","267.70","262.50","4.67M","2.66%"
"Jun 19, 2019","259.87","258.83","260.62","258.30","4.33M","0.41%"
"Jun 18, 2019","258.81","261.70","262.25","255.07","3.92M","-0.15%"
"Jun 17, 2019","259.20","261.00","261.71","258.05","3.33M","-0.35%"
"Jun 14, 2019","260.10","259.99","261.98","259.42","3.16M","-0.42%"
"Jun 13, 2019","261.20","265.00","265.23","260.25","4.33M","-1.00%"
"Jun 12, 2019","263.85","262.45","264.21","261.36","2.30M","0.07%"
"Jun 11, 2019","263.66","267.47","267.89","259.18","3.12M","-0.92%"
"Jun 10, 2019","266.10","269.00","269.85","265.28","4.47M","0.11%"
"Jun 07, 2019","265.80","260.00","266.87","259.62","3.69M","3.09%"
"Jun 06, 2019","257.83","256.36","258.70","254.86","3.44M","0.61%"
"Jun 05, 2019","256.26","251.47","256.97","250.15","4.74M","2.84%"
