"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","194.29","189.83","194.34","186.20","10.79M","4.61%"
"Mar 03, 2020","185.73","193.24","193.88","184.50","15.23M","-3.43%"
"Mar 02, 2020","192.33","185.75","192.33","183.10","17.43M","5.82%"
"Feb 28, 2020","181.76","173.50","181.97","173.50","22.67M","0.97%"
"Feb 27, 2020","180.01","182.12","186.34","180.00","17.54M","-3.85%"
"Feb 26, 2020","187.21","190.00","193.51","187.03","14.22M","-0.63%"
"Feb 25, 2020","188.40","198.79","199.89","187.72","18.54M","-5.23%"
"Feb 24, 2020","198.79","197.89","203.77","194.01","13.32M","-4.80%"
"Feb 21, 2020","208.81","209.90","210.22","207.42","9.23M","-1.25%"
"Feb 20, 2020","211.45","212.13","213.69","208.28","8.53M","-0.87%"
"Feb 19, 2020","213.31","212.52","214.17","211.72","5.93M","1.00%"
"Feb 18, 2020","211.20","210.00","211.50","209.36","7.65M","0.43%"
"Feb 14, 2020","210.29","208.29","210.78","208.01","6.55M","1.39%"
"Feb 13, 2020","207.40","206.62","208.47","206.05","9.50M","-0.02%"
"Feb 12, 2020","207.44","205.00","208.15","205.00","7.36M","1.72%"
"Feb 11, 2020","203.94","207.50","207.67","203.64","10.23M","-1.00%"
"Feb 10, 2020","205.99","201.97","206.13","201.86","6.24M","1.60%"
"Feb 07, 2020","202.74","201.98","203.83","201.09","5.69M","-0.15%"
"Feb 06, 2020","203.04","203.05","204.63","202.47","7.00M","0.11%"
"Feb 05, 2020","202.81","205.50","205.60","199.95","8.67M","-0.37%"
"Feb 04, 2020","203.56","203.50","204.92","202.23","10.21M","1.37%"
"Feb 03, 2020","200.81","199.94","202.26","199.85","10.89M","0.92%"
"Jan 31, 2020","198.97","201.49","203.98","198.26","16.70M","-4.44%"
"Jan 30, 2020","208.21","204.00","208.50","203.32","8.57M","1.64%"
"Jan 29, 2020","204.86","204.30","205.92","202.51","7.05M","0.99%"
"Jan 28, 2020","202.85","202.39","203.84","201.78","7.22M","0.58%"
"Jan 27, 2020","201.69","200.00","203.33","199.10","7.20M","-1.61%"
"Jan 24, 2020","205.00","207.42","207.99","204.21","7.81M","-0.74%"
"Jan 23, 2020","206.52","207.90","208.40","205.30","8.52M","-0.66%"
"Jan 22, 2020","207.90","207.51","210.13","207.29","8.07M","0.29%"
"Jan 21, 2020","207.29","204.13","208.39","203.80","14.86M","1.27%"
"Jan 17, 2020","204.70","201.76","204.75","199.98","12.52M","1.87%"
"Jan 16, 2020","200.95","201.00","201.50","199.78","9.98M","0.58%"
