"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","1.59","1.75","1.78","1.54","7.08M","-7.56%"
"Mar 03, 2020","1.72","1.76","1.82","1.62","7.95M","1.18%"
"Mar 02, 2020","1.70","2.00","2.02","1.65","13.30M","-8.11%"
"Feb 28, 2020","1.85","1.58","1.90","1.52","13.33M","8.19%"
"Feb 27, 2020","1.71","1.88","1.88","1.31","30.08M","-24.34%"
"Feb 26, 2020","2.26","2.44","2.49","2.21","12.87M","-6.22%"
"Feb 25, 2020","2.41","2.55","2.58","2.30","11.80M","-5.12%"
"Feb 24, 2020","2.54","2.53","2.71","2.47","11.78M","-7.64%"
"Feb 21, 2020","2.75","2.78","2.82","2.66","6.92M","-3.51%"
"Feb 20, 2020","2.85","3.03","3.14","2.85","9.09M","-5.32%"
"Feb 19, 2020","3.01","2.87","3.06","2.80","8.89M","7.12%"
"Feb 18, 2020","2.81","2.86","2.89","2.67","7.93M","-3.77%"
"Feb 14, 2020","2.92","2.90","2.99","2.70","10.67M","1.39%"
"Feb 13, 2020","2.88","2.93","3.18","2.75","15.74M","0.00%"
"Feb 12, 2020","2.88","3.90","3.94","1.81","50.72M","-22.37%"
"Feb 11, 2020","3.71","3.87","4.01","3.68","9.35M","1.09%"
"Feb 10, 2020","3.67","4.02","4.05","3.61","15.05M","-10.49%"
"Feb 07, 2020","4.10","4.27","4.34","4.05","13.66M","-5.96%"
"Feb 06, 2020","4.36","4.65","4.74","4.35","8.81M","-6.24%"
"Feb 05, 2020","4.65","4.31","4.74","4.26","13.36M","10.98%"
"Feb 04, 2020","4.19","4.65","4.67","4.15","11.51M","-5.20%"
"Feb 03, 2020","4.42","4.48","4.74","4.36","8.98M","-2.64%"
"Jan 31, 2020","4.54","4.47","4.62","4.33","8.42M","-0.87%"
"Jan 30, 2020","4.58","4.35","4.60","4.25","7.17M","2.23%"
"Jan 29, 2020","4.48","4.81","4.92","4.46","8.54M","-6.86%"
"Jan 28, 2020","4.81","4.65","4.96","4.52","9.55M","4.57%"
"Jan 27, 2020","4.60","4.71","4.76","4.54","7.83M","-7.26%"
"Jan 24, 2020","4.96","4.85","5.00","4.74","7.31M","-0.40%"
"Jan 23, 2020","4.98","4.87","5.12","4.64","11.31M","-1.97%"
"Jan 22, 2020","5.08","5.33","5.33","5.04","8.24M","-5.75%"
"Jan 21, 2020","5.39","5.54","5.54","5.35","6.91M","-3.58%"
"Jan 17, 2020","5.59","5.87","5.99","5.58","9.58M","-5.25%"
"Jan 16, 2020","5.90","6.33","6.44","5.89","10.74M","-5.75%"
"Jan 15, 2020","6.26","6.28","6.32","6.05","11.18M","-2.34%"
"Jan 14, 2020","6.41","6.31","6.60","6.17","8.87M","2.56%"
"Jan 13, 2020","6.25","6.62","6.64","6.13","13.99M","-6.44%"
"Jan 10, 2020","6.68","6.87","7.00","6.65","6.22M","-5.52%"
"Jan 09, 2020","7.07","7.40","7.40","6.63","12.15M","-5.10%"
"Jan 08, 2020","7.45","8.12","8.14","7.19","15.40M","-8.70%"
"Jan 07, 2020","8.16","7.85","8.18","7.77","8.97M","2.00%"
